"Ix","Iz"
3.87203878181e-05,-0.000275
4.15040475785e-05,-0.000284
4.44878283113e-05,-0.000293
4.76861169771e-05,-0.000303
5.11143348344e-05,-0.000313
5.47890117959e-05,-0.000324
5.87278661319e-05,-0.000335
6.29498899022e-05,-0.000346
6.74754405311e-05,-0.000358
7.23263389648e-05,-0.00037
7.75259748863e-05,-0.000383
8.30994194935e-05,-0.000396
8.90735463861e-05,-0.00041
9.54771611421e-05,-0.000424
0.000102341140211,-0.000439
0.000109698579789,-0.000454
0.000117584955405,-0.000469
0.000126038292968,-0.000485
0.00013509935212,-0.000502
0.000144811822767,-0.000519
0.000155222535743,-0.000537
0.000166381688608,-0.000555
0.000178343087693,-0.000574
0.000191164407539,-0.000594
0.000204907468982,-0.000618
0.000219638537242,-0.000639
0.000235428641432,-0.000659
0.000252353917043,-0.000664
0.000270495973046,-0.000667
0.000289942285388,-0.000668
0.000310786618778,-0.00067
0.000333129478793,-0.000674
0.00035707859649,-0.000679
0.000382749447852,-0.000683
0.000410265810583,-0.000687
0.00043976036093,-0.000691
0.000471375313412,-0.0007
0.000505263106534,-0.000707
0.000541587137808,-0.000712
0.000580522551609,-0.000722
0.000622257083673,-0.000731
0.000666991966303,-0.00074
0.00071494289866,-0.00075
0.000766341086801,-0.000762
0.000821434358492,-0.000773
0.000880488358164,-0.000788
0.000943787827778,-0.000804
0.00101163797977,-0.00082
0.00108436596869,-0.000836
0.00116232246868,-0.000851
0.0012458833643,-0.000867
0.00133545156293,-0.000882
0.00143145893752,-0.000895
0.00153436840893,-0.000907
0.00164467617799,-0.00092
0.0017629141181,-0.000928
0.00188965233969,-0.000935
0.00202550193923,-0.0011
0.00217111794569,-0.001116
0.00232720247896,-0.001127
0.00249450813523,-0.001136
0.00267384161584,-0.001162
0.00286606761695,-0.001199
0.00307211299886,-0.001231
0.0032929712551,-0.001255
0.00352970730273,-0.001289
0.00378346261713,-0.001335
0.00405546073584,-0.001413
0.00434701315813,-0.001579
0.00465952566866,-0.001643
0.00499450511586,-0.001706
0.00535356667741,-0.001748
0.0057384416483,-0.001762
0.00615098578858,-0.001753
0.00659318827133,-0.001723
0.00706718127393,-0.001681
0.00757525025877,-0.001626
0.00811984499318,-0.001549
0.00870359136149,-0.001446
0.00932930402628,-0.001355
0.01,-0.001277
