"Ix","Iz"
0.00352970730273,-0.0001707
0.00378346261713,-0.0001816
0.00405546073584,-0.0001933
0.00434701315813,-0.000208
0.00465952566866,-0.000221
0.00499450511586,-0.000236
0.00535356667741,-0.000253
0.0057384416483,-0.000272
0.00615098578858,-0.000291
0.00659318827133,-0.000312
0.00706718127393,-0.000335
0.00757525025877,-0.00036
0.00811984499318,-0.000388
0.00870359136149,-0.000418
0.00932930402628,-0.00045
0.01,-0.000486
