"Iin","I1","I2"
0.00848,0.001534,0.00641
0.00852,0.00154,0.00644
0.00856,0.001548,0.00647
0.0086,0.001555,0.00649
0.00864,0.001563,0.00653
0.00868,0.00157,0.00656
0.00872,0.001578,0.00659
0.00876,0.001585,0.00662
0.0088,0.001592,0.00665
0.00884,0.0016,0.00668
0.00888,0.001607,0.00671
0.00892,0.001614,0.00674
0.00896,0.001622,0.00677
0.009,0.001629,0.0068
0.00904,0.001636,0.00683
0.00908,0.001644,0.00686
0.00912,0.001651,0.00689
0.00916,0.001658,0.00692
0.0092,0.001666,0.00694
0.00924,0.001673,0.00697
0.00928,0.00168,0.007
0.00932,0.001688,0.00703
0.00936,0.001695,0.00706
0.0094,0.001702,0.00709
0.00944,0.001709,0.00712
0.00948,0.001717,0.00715
0.00952,0.001724,0.00718
0.00956,0.001731,0.00721
0.0096,0.001738,0.00724
0.00964,0.001746,0.00727
0.00968,0.001753,0.00729
0.00972,0.001761,0.00732
0.00976,0.001768,0.00735
0.0098,0.001776,0.00738
0.00984,0.001783,0.00741
0.00988,0.001791,0.00744
0.00992,0.001798,0.00747
0.00996,0.001805,0.0075
0.01,0.001813,0.00753
0.01004,0.00182,0.00756
0.01008,0.001827,0.00759
0.01012,0.001835,0.00762
0.01016,0.001842,0.00765
0.0102,0.001849,0.00768
0.01024,0.001857,0.00771
0.01028,0.001864,0.00773
0.01032,0.001871,0.00776
0.01036,0.001874,0.00776
0.0104,0.001875,0.00777
0.01044,0.001876,0.00777
0.01048,0.001877,0.00777
0.01052,0.001877,0.00777
0.01056,0.001877,0.00777
0.0106,0.001877,0.00777
0.01064,0.001878,0.00777
0.01068,0.001878,0.00778
0.01072,0.001878,0.00778
0.01076,0.001878,0.00778
0.0108,0.001878,0.00778
0.01084,0.001878,0.00778
0.01088,0.001878,0.00778
0.01092,0.001878,0.00778
0.01096,0.001879,0.00778
0.011,0.001879,0.00778
0.01104,0.001879,0.00778
0.01108,0.001879,0.00778
0.01112,0.001879,0.00778
0.01116,0.001879,0.00778
0.0112,0.001879,0.00778
0.01124,0.001879,0.00778
0.01128,0.001879,0.00778
0.01132,0.001879,0.00778
0.01136,0.001879,0.00778
0.0114,0.001879,0.00778
0.01144,0.001879,0.00778
0.01148,0.001879,0.00779
0.01152,0.001879,0.00779
0.01156,0.001879,0.00779
0.0116,0.001879,0.00779
0.01164,0.001879,0.00779
0.01168,0.001879,0.00778
0.01172,0.00188,0.00778
0.01176,0.001879,0.00778
0.0118,0.00188,0.00779
0.01184,0.00188,0.00779
0.01188,0.00188,0.00779
0.01192,0.00188,0.00779
0.01196,0.00188,0.00779
0.012,0.00188,0.00779
0.01204,0.00188,0.00779
0.01208,0.00188,0.00779
0.01212,0.00188,0.00779
0.01216,0.00188,0.00779
0.0122,0.001881,0.00779
0.01224,0.00188,0.00779
0.01228,0.00188,0.00779
0.01232,0.001881,0.00779
0.01236,0.00188,0.00779
0.0124,0.001881,0.00779
0.01244,0.001881,0.00779
0.01248,0.00188,0.00779
0.01252,0.001881,0.00779
0.01256,0.001881,0.00779
0.0126,0.00188,0.00779
0.01264,0.001881,0.00779
0.01268,0.001881,0.00779
0.01272,0.001881,0.00779
0.01276,0.00188,0.00779
0.0128,0.001881,0.00779
0.01284,0.001881,0.00779
0.01288,0.00188,0.00779
0.01292,0.001881,0.00779
0.01296,0.00188,0.00779
0.013,0.001881,0.00779
0.01304,0.001881,0.00779
0.01308,0.00188,0.00779
0.01312,0.00188,0.00779
0.01316,0.00188,0.00779
0.0132,0.00188,0.00779
0.01324,0.001881,0.00779
0.01328,0.001881,0.00779
0.01332,0.00188,0.00779
0.01336,0.001881,0.00779
0.0134,0.001881,0.00779
0.01344,0.001881,0.00779
0.01348,0.001881,0.00779
0.01352,0.00188,0.00779
0.01356,0.001881,0.00779
0.0136,0.00188,0.00779
0.01364,0.00188,0.00779
0.01368,0.00188,0.00779
0.01372,0.00188,0.00779
0.01376,0.00188,0.00779
0.0138,0.00188,0.00779
0.01384,0.00188,0.00779
0.01388,0.00188,0.00779
0.01392,0.00188,0.00779
0.01396,0.00188,0.00779
0.014,0.00188,0.00779
0.01404,0.00188,0.00779
0.01408,0.00188,0.00779
0.01412,0.00188,0.00779
0.01416,0.00188,0.00779
0.0142,0.00188,0.00779
0.01424,0.00188,0.00779
0.01428,0.00188,0.00779
0.01432,0.00188,0.00779
0.01436,0.00188,0.00779
0.0144,0.00188,0.00779
0.01444,0.00188,0.00779
0.01448,0.00188,0.00779
0.01452,0.00188,0.00779
0.01456,0.00188,0.00779
0.0146,0.00188,0.00779
0.01464,0.00188,0.00779
0.01468,0.00188,0.00779
0.01472,0.00188,0.00779
0.01476,0.00188,0.00779
0.0148,0.00188,0.00779
0.01484,0.00188,0.00779
0.01488,0.00188,0.00779
0.01492,0.00188,0.00779
0.01496,0.00188,0.00779
0.015,0.00188,0.00779
0.01504,0.00188,0.00779
0.01508,0.00188,0.00779
0.01512,0.00188,0.00779
0.01516,0.00188,0.00779
0.0152,0.00188,0.00779
0.01524,0.00188,0.00779
0.01528,0.00188,0.00779
0.01532,0.001879,0.00779
0.01536,0.00188,0.00779
0.0154,0.00188,0.00779
0.01544,0.00188,0.00779
0.01548,0.001879,0.00779
0.01552,0.00188,0.00779
0.01556,0.00188,0.00779
0.0156,0.00188,0.00779
0.01564,0.001879,0.00779
0.01568,0.001879,0.00779
0.01572,0.00188,0.00779
0.01576,0.001879,0.00779
0.0158,0.001879,0.00779
0.01584,0.001879,0.00779
0.01588,0.001879,0.00779
0.01592,0.001879,0.00779
0.01596,0.001879,0.00779
0.016,0.00188,0.00779
0.01604,0.001879,0.00779
0.01608,0.001879,0.00779
0.01612,0.001879,0.00779
0.01616,0.001879,0.00779
0.0162,0.001879,0.00779
0.01624,0.001879,0.00779
0.01628,0.001879,0.00779
0.01632,0.001879,0.00779
0.01636,0.001879,0.00779
0.0164,0.001879,0.00779
0.01644,0.001879,0.00779
0.01648,0.001879,0.00779
0.01652,0.001879,0.00779
0.01656,0.001879,0.00779
