VGate,IChannel1,IChannel2,,IChannel3,IChannel4
0.8,2.89E-05,2.88E-05,-2.88E-05,2.88E-05,2.85E-05
0.81,3.12E-05,3.11E-05,-3.11E-05,3.11E-05,3.08E-05
0.82,3.36E-05,3.34E-05,-3.34E-05,3.34E-05,3.31E-05
0.83,3.62E-05,3.59E-05,-3.59E-05,3.59E-05,3.56E-05
0.84,3.88E-05,3.85E-05,-3.85E-05,3.85E-05,3.82E-05
0.85,4.16E-05,4.11E-05,-4.11E-05,4.11E-05,4.10E-05
0.86,4.45E-05,4.39E-05,-4.39E-05,4.39E-05,4.37E-05
0.87,4.75E-05,4.68E-05,-4.68E-05,4.68E-05,4.66E-05
0.88,5.06E-05,4.97E-05,-4.97E-05,4.97E-05,4.96E-05
0.89,5.38E-05,5.28E-05,-5.28E-05,5.28E-05,5.27E-05
0.9,5.71E-05,5.60E-05,-5.60E-05,5.60E-05,5.59E-05
0.91,6.04E-05,5.92E-05,-5.92E-05,5.92E-05,5.92E-05
0.92,6.39E-05,6.26E-05,-6.26E-05,6.26E-05,6.26E-05
0.93,6.75E-05,6.60E-05,-6.60E-05,6.60E-05,6.60E-05
0.94,7.11E-05,6.96E-05,-6.96E-05,6.96E-05,6.96E-05
0.95,7.49E-05,7.32E-05,-7.32E-05,7.32E-05,7.33E-05
0.96,7.88E-05,7.70E-05,-7.70E-05,7.70E-05,7.70E-05
0.97,8.29E-05,8.09E-05,-8.09E-05,8.09E-05,8.10E-05
0.98,8.70E-05,8.49E-05,-8.49E-05,8.49E-05,8.50E-05
0.99,9.13E-05,8.90E-05,-8.90E-05,8.90E-05,8.91E-05
1,9.56E-05,9.32E-05,-9.32E-05,9.32E-05,9.33E-05
1.01,0.0001001,9.75E-05,-9.75E-05,9.75E-05,9.76E-05
1.02,0.0001047,0.0001019,-1.02E-04,1.02E-04,0.000102
1.03,0.0001093,0.0001064,-1.06E-04,1.06E-04,0.0001065
1.04,0.0001141,0.0001109,-1.11E-04,1.11E-04,0.0001111
1.05,0.0001189,0.0001156,-1.16E-04,1.16E-04,0.0001158
1.06,0.0001238,0.0001203,-1.20E-04,1.20E-04,0.0001205
1.07,0.0001288,0.0001252,-1.25E-04,1.25E-04,0.0001254
1.08,0.0001339,0.0001301,-1.30E-04,1.30E-04,0.0001303
1.09,0.0001392,0.0001352,-1.35E-04,1.35E-04,0.0001354
1.1,0.0001446,0.0001404,-1.40E-04,1.40E-04,0.0001406
1.11,0.0001501,0.0001457,-1.46E-04,1.46E-04,0.0001459
1.12,0.0001556,0.0001511,-1.51E-04,1.51E-04,0.0001513
1.13,0.0001614,0.0001566,-1.57E-04,1.57E-04,0.0001567
1.14,0.0001671,0.0001621,-1.62E-04,1.62E-04,0.0001623
1.15,0.0001729,0.0001678,-1.68E-04,1.68E-04,0.0001679
1.16,0.0001788,0.0001735,-1.74E-04,1.74E-04,0.0001736
1.17,0.0001848,0.0001792,-1.79E-04,1.79E-04,0.0001793
1.18,0.0001908,0.000185,-1.85E-04,1.85E-04,0.0001851
1.19,0.0001969,0.0001909,-1.91E-04,1.91E-04,0.000191
