"VGate","I_10_Single","I_dd_Single","I_10_Series","I_dd_Series","I_10_Paralle","I_dd_Parallel"
0.9,-2.58e-06,-69,-5.28e-06,-69,-4.44e-07,-69
0.91,-2.66e-06,-69,-5.44e-06,-69,-4.74e-07,-69
0.92,-2.74e-06,-69,-5.6e-06,-69,-5.05e-07,-69
0.93,-2.83e-06,-69,-5.76e-06,-69,-5.32e-07,-69
0.94,-2.91e-06,-69,-5.92e-06,-69,-5.61e-07,-69
0.95,-2.99e-06,-69,-6.08e-06,-69,-5.91e-07,-69
0.96,-3.07e-06,-69,-6.25e-06,-69,-6.19e-07,-69
0.97,-3.16e-06,-69,-6.4e-06,-69,-6.46e-07,-69
0.98,-3.24e-06,-69,-6.57e-06,-69,-6.74e-07,-69
0.99,-3.32e-06,-69,-6.73e-06,-69,-7.02e-07,-69
1.0,-3.4e-06,-69,-6.88e-06,-69,-7.3e-07,-69
1.01,-3.48e-06,-69,-7.06e-06,-69,-7.57e-07,-69
1.02,-3.56e-06,-69,-7.2e-06,-69,-7.83e-07,-69
1.03,-3.64e-06,-69,-7.36e-06,-69,-8.09e-07,-69
1.04,-3.72e-06,-69,-7.5e-06,-69,-8.35e-07,-69
1.05,-3.8e-06,-69,-7.66e-06,-69,-8.61e-07,-69
1.06,-3.88e-06,-69,-7.82e-06,-69,-8.84e-07,-69
1.07,-3.95e-06,-69,-7.96e-06,-69,-9.09e-07,-69
1.08,-4.02e-06,-69,-8.1e-06,-69,-9.36e-07,-69
1.09,-4.11e-06,-69,-8.26e-06,-69,-9.6e-07,-69
1.1,-4.18e-06,-69,-8.4e-06,-69,-9.82e-07,-69
1.11,-4.26e-06,-69,-8.55e-06,-69,-1.008e-06,-69
1.12,-4.34e-06,-69,-8.7e-06,-69,-1.031e-06,-69
1.13,-4.41e-06,-69,-8.85e-06,-69,-1.055e-06,-69
1.14,-4.48e-06,-69,-9e-06,-69,-1.077e-06,-69
1.15,-4.56e-06,-69,-9.14e-06,-69,-1.1e-06,-69
1.16,-4.63e-06,-69,-9.28e-06,-69,-1.124e-06,-69
1.17,-4.7e-06,-69,-9.43e-06,-69,-1.144e-06,-69
1.18,-4.78e-06,-69,-9.57e-06,-69,-1.166e-06,-69
1.19,-4.84e-06,-69,-9.71e-06,-69,-1.188e-06,-69
1.2,-4.91e-06,-69,-9.85e-06,-69,-1.21e-06,-69
1.21,-4.98e-06,-69,-9.99e-06,-69,-1.232e-06,-69
1.22,-5.05e-06,-69,-1.011e-05,-69,-1.253e-06,-69
