"Ix","Iz"
-1.70276917223e-06,5.2e-09
-1.82518349432e-06,2.4e-09
-1.95639834352e-06,3.5e-09
-2.09704640132e-06,2.2e-09
-2.24780583355e-06,9.8e-09
-2.40940356024e-06,4.3e-09
-2.58261876068e-06,8.86e-08
-2.76828663039e-06,1.8e-09
-2.96730240819e-06,1.8e-09
-3.18062569279e-06,2e-09
-3.40928506975e-06,4e-09
-3.65438307096e-06,-3e-10
-3.91710149081e-06,6.4e-09
-4.19870708444e-06,3.4e-09
-4.5005576757e-06,3.8e-09
-4.82410870417e-06,5.2e-09
-5.1709202429e-06,9e-10
-5.54266452066e-06,2.6e-09
-5.94113398497e-06,3e-09
-6.36824994472e-06,1.3e-09
-6.82607183427e-06,2.7e-09
-7.31680714343e-06,1.5e-09
-7.84282206134e-06,3.7e-09
-8.40665288562e-06,2.3e-09
-9.01101825167e-06,3e-09
-9.65883224116e-06,2.9e-09
-1.0353218433e-05,3.3e-09
-1.10975249641e-05,1.5e-09
-1.18953406737e-05,2.9e-09
-1.27505124071e-05,1.4e-09
-1.36671635646e-05,9e-10
-1.46497139831e-05,2.7e-09
-1.57029012473e-05,9e-10
-1.68318035333e-05,4.2e-09
-1.80418640939e-05,4e-09
-1.93389175046e-05,2.6e-09
-2.0729217796e-05,3.5e-09
-2.22194686094e-05,1.5e-09
-2.38168555198e-05,1.1e-09
-2.55290806824e-05,3e-09
-2.73643999707e-05,1.1e-09
-2.93316627839e-05,3.5e-09
-3.14403547159e-05,-8e-10
-3.37006432927e-05,-1.3e-09
-3.61234269971e-05,1.5e-09
-3.87203878181e-05,3e-09
-4.15040475785e-05,3.3e-09
-4.44878283113e-05,2.4e-09
-4.76861169771e-05,3.6e-09
-5.11143348344e-05,-8e-10
-5.47890117959e-05,8e-10
-5.87278661319e-05,2.5e-09
-6.29498899022e-05,3.3e-09
-6.74754405311e-05,3.1e-09
-7.23263389648e-05,-8e-10
-7.75259748863e-05,4e-10
-8.30994194935e-05,1.2e-09
-8.90735463861e-05,-7.4e-08
-9.54771611421e-05,-1e-09
-0.000102341140211,1.9e-09
-0.000109698579789,4e-10
-0.000117584955405,1.2e-09
-0.000126038292968,-6e-10
-0.00013509935212,-3e-10
-0.000144811822767,3e-10
-0.000155222535743,-1.2e-09
-0.000166381688608,1.9e-09
-0.000178343087693,8e-10
-0.000191164407539,2.3e-09
-0.000204907468982,4.3e-09
-0.000219638537242,2.2e-09
-0.000235428641432,5e-10
-0.000252353917043,2.7e-09
-0.000270495973046,-1.3e-09
-0.000289942285388,1.5e-09
-0.000310786618778,1.8e-09
-0.000333129478793,1.9e-09
-0.00035707859649,1.4e-09
-0.000382749447852,5e-10
-0.000410265810583,6.1e-09
-0.00043976036093,3e-09
-0.000471375313412,6e-10
-0.000505263106534,-3e-10
-0.000541587137808,-4e-10
-0.000580522551609,2.3e-09
-0.000622257083673,3e-09
-0.000666991966303,0.0
-0.00071494289866,3.7e-09
-0.000766341086801,-4.7e-09
-0.000821434358492,-4e-10
-0.000880488358164,6.1e-09
-0.000943787827778,8.9e-09
-0.00101163797977,9.7e-09
-0.00108436596869,2.45e-08
-0.00116232246868,3.69e-08
-0.0012458833643,6.29e-08
-0.00133545156293,1.039e-07
-0.00143145893752,1.544e-07
-0.00153436840893,2.26e-07
-0.00164467617799,3.17e-07
-0.0017629141181,4.36e-07
-0.00188965233969,5.85e-07
-0.00202550193923,8.2e-07
