time	V(vz)
0.000000000000000e+00	1.235137e+01
2.285714312425366e-07	1.235137e+01
4.571428624850733e-07	1.235137e+01
6.857142937276099e-07	1.235137e+01
9.142857249701465e-07	1.235137e+01
1.142857156212683e-06	1.235137e+01
1.371428587455220e-06	1.235137e+01
1.600000018697756e-06	1.235137e+01
3.200000037395512e-06	1.235137e+01
6.400000074791024e-06	1.235137e+01
1.280000014958205e-05	1.235140e+01
2.560000029916409e-05	1.235149e+01
4.513125029916410e-05	1.235171e+01
6.466250029916410e-05	1.235205e+01
8.419375029916411e-05	1.235250e+01
1.037250002991641e-04	1.235307e+01
1.232562502991641e-04	1.235376e+01
1.427875002991641e-04	1.235457e+01
1.623187502991641e-04	1.235549e+01
1.818500002991641e-04	1.235653e+01
2.013812502991641e-04	1.235770e+01
2.209125002991641e-04	1.235898e+01
2.404437502991640e-04	1.236038e+01
2.599750002991640e-04	1.236189e+01
2.795062502991640e-04	1.236353e+01
2.990375002991641e-04	1.236528e+01
3.185687502991641e-04	1.236715e+01
3.381000002991641e-04	1.236914e+01
3.576312502991641e-04	1.237125e+01
3.771625002991641e-04	1.237347e+01
4.162250002991642e-04	1.237827e+01
4.552875002991642e-04	1.238354e+01
4.943500002991642e-04	1.238928e+01
5.334125002991642e-04	1.239548e+01
5.920062502991643e-04	1.240566e+01
6.506000002991643e-04	1.241688e+01
7.091937502991644e-04	1.242914e+01
7.677875002991644e-04	1.244243e+01
9.045062502991645e-04	1.247769e+01
1.041225000299165e-03	1.251820e+01
1.177943750299165e-03	1.256395e+01
1.314662500299165e-03	1.261495e+01
1.451381250299165e-03	1.267120e+01
1.588100000299165e-03	1.273269e+01
1.724818750299165e-03	1.279942e+01
1.931291964584880e-03	1.291009e+01
2.137765178870594e-03	1.303006e+01
2.344238393156309e-03	1.315936e+01
2.550711607442024e-03	1.329797e+01
2.757184821727738e-03	1.344589e+01
2.963658036013452e-03	1.360313e+01
3.170131250299166e-03	1.376969e+01
3.507742857442019e-03	1.406019e+01
3.845354464584871e-03	1.436528e+01
4.182966071727724e-03	1.468497e+01
4.520577678870576e-03	1.501925e+01
4.858189286013429e-03	1.536812e+01
5.195800893156281e-03	1.573158e+01
5.533412500299133e-03	1.610964e+01
6.013323214584837e-03	1.666373e+01
6.493233928870541e-03	1.723097e+01
6.973144643156246e-03	1.781135e+01
7.453055357441949e-03	1.840486e+01
7.932966071727655e-03	1.901152e+01
8.412876786013358e-03	1.963132e+01
8.892787500299062e-03	2.026426e+01
8.906738393156205e-03	2.028268e+01
8.920689286013347e-03	2.030110e+01
8.934640178870490e-03	2.031953e+01
8.948591071727631e-03	2.033796e+01
8.962541964584774e-03	2.035641e+01
8.976492857441917e-03	2.037485e+01
8.990443750299060e-03	2.039330e+01
9.009975000299059e-03	2.041906e+01
9.029506250299059e-03	2.044326e+01
9.049037500299058e-03	2.045905e+01
9.068568750299058e-03	2.046388e+01
9.088100000299058e-03	2.046433e+01
9.127162500299057e-03	2.046440e+01
9.146693750299056e-03	2.046395e+01
9.149135156549056e-03	2.046431e+01
9.149745508111555e-03	2.046441e+01
1.000165948106329e-02	2.046442e+01
1.929266160232886e-02	2.046442e+01
1.999578660232884e-02	2.046442e+01
2.000000000000000e-02	2.046442e+01
