"Ix","Iz1","Iz2","Iz3"
7.9340966658e-07,-0.000357,-0.000357,-0.000357
8.5044893418e-07,-0.000357,-0.000357,-0.000357
9.11588829975e-07,-0.000357,-0.000357,-0.000357
9.77124153535e-07,-0.000357,-0.000357,-0.000357
1.04737089796e-06,-0.000357,-0.000357,-0.000357
1.12266777351e-06,-0.000357,-0.000357,-0.000357
1.20337784078e-06,-0.000357,-0.000357,-0.000357
1.28989026125e-06,-0.000357,-0.000357,-0.000357
1.38262217376e-06,-0.000357,-0.000357,-0.000357
1.4820207058e-06,-0.000357,-0.000357,-0.000357
1.58856512943e-06,-0.000357,-0.000357,-0.000357
1.70276917223e-06,-0.000357,-0.000357,-0.000357
1.82518349432e-06,-0.000357,-0.000357,-0.000357
1.95639834352e-06,-0.000357,-0.000357,-0.000357
2.09704640132e-06,-0.000357,-0.000357,-0.000357
2.24780583355e-06,-0.000357,-0.000357,-0.000357
2.40940356024e-06,-0.000357,-0.000357,-0.000357
2.58261876068e-06,-0.000357,-0.000357,-0.000357
2.76828663039e-06,-0.000357,-0.000357,-0.000357
2.96730240819e-06,-0.000357,-0.000358,-0.000357
3.18062569279e-06,-0.000357,-0.000357,-0.000357
3.40928506975e-06,-0.000357,-0.000357,-0.000357
3.65438307096e-06,-0.000357,-0.000357,-0.000358
3.91710149081e-06,-0.000357,-0.000357,-0.000357
4.19870708444e-06,-0.000357,-0.000357,-0.000357
4.5005576757e-06,-0.000357,-0.000357,-0.000357
4.82410870417e-06,-0.000357,-0.000357,-0.000357
5.1709202429e-06,-0.000357,-0.000357,-0.000358
5.54266452066e-06,-0.000357,-0.000357,-0.000357
5.94113398497e-06,-0.000357,-0.000357,-0.000357
6.36824994472e-06,-0.000357,-0.000357,-0.000357
6.82607183427e-06,-0.000357,-0.000357,-0.000357
7.31680714343e-06,-0.000357,-0.000357,-0.000357
7.84282206134e-06,-0.000357,-0.000357,-0.000357
8.40665288562e-06,-0.000357,-0.000357,-0.000357
9.01101825167e-06,-0.000357,-0.000357,-0.000358
9.65883224116e-06,-0.000357,-0.000357,-0.000357
1.0353218433e-05,-0.000357,-0.000357,-0.000358
1.10975249641e-05,-0.000357,-0.000357,-0.000357
1.18953406737e-05,-0.000357,-0.000357,-0.000357
1.27505124071e-05,-0.000357,-0.000357,-0.000358
1.36671635646e-05,-0.000357,-0.000358,-0.000357
1.46497139831e-05,-0.000357,-0.000358,-0.000358
1.57029012473e-05,-0.000357,-0.000358,-0.000358
1.68318035333e-05,-0.000357,-0.000358,-0.000358
1.80418640939e-05,-0.000357,-0.000357,-0.000358
1.93389175046e-05,-0.000357,-0.000357,-0.000358
2.0729217796e-05,-0.000357,-0.000357,-0.000358
2.22194686094e-05,-0.000357,-0.000357,-0.000358
2.38168555198e-05,-0.000357,-0.000358,-0.000358
2.55290806824e-05,-0.000357,-0.000358,-0.000358
2.73643999707e-05,-0.000357,-0.000358,-0.000358
2.93316627839e-05,-0.000358,-0.000358,-0.000358
3.14403547159e-05,-0.000358,-0.000358,-0.000358
3.37006432927e-05,-0.000358,-0.000358,-0.000358
3.61234269971e-05,-0.000358,-0.000358,-0.000358
3.87203878181e-05,-0.000358,-0.000358,-0.000358
4.15040475785e-05,-0.000358,-0.000358,-0.000358
4.44878283113e-05,-0.000358,-0.000358,-0.000358
4.76861169771e-05,-0.000358,-0.000358,-0.000358
5.11143348344e-05,-0.000358,-0.000358,-0.000358
5.47890117959e-05,-0.000358,-0.000358,-0.000358
5.87278661319e-05,-0.000358,-0.000358,-0.000358
6.29498899022e-05,-0.000358,-0.000358,-0.000358
6.74754405311e-05,-0.000358,-0.000358,-0.000358
7.23263389648e-05,-0.000358,-0.000358,-0.000358
7.75259748863e-05,-0.000358,-0.000358,-0.000358
8.30994194935e-05,-0.000358,-0.000358,-0.000358
8.90735463861e-05,-0.000358,-0.000358,-0.000358
9.54771611421e-05,-0.000358,-0.000358,-0.000358
0.000102341140211,-0.000358,-0.000358,-0.000358
0.000109698579789,-0.000358,-0.000358,-0.000358
0.000117584955405,-0.000358,-0.000358,-0.000358
0.000126038292968,-0.000358,-0.000358,-0.000358
0.00013509935212,-0.000358,-0.000358,-0.000358
0.000144811822767,-0.000358,-0.000358,-0.000358
0.000155222535743,-0.000358,-0.000358,-0.000358
