"Ix","Iz1","Iz2","Iz3"
0.000166381688608,-0.000358,-0.000358,-0.000358
0.000178343087693,-0.000358,-0.000358,-0.000358
0.000191164407539,-0.000358,-0.000358,-0.000358
0.000204907468982,-0.000358,-0.000358,-0.000358
0.000219638537242,-0.000358,-0.000358,-0.000358
0.000235428641432,-0.000358,-0.000359,-0.000359
0.000252353917043,-0.000359,-0.000359,-0.000359
0.000270495973046,-0.000359,-0.000359,-0.000359
0.000289942285388,-0.000359,-0.000359,-0.000359
0.000310786618778,-0.000359,-0.000359,-0.000359
0.000333129478793,-0.000359,-0.000359,-0.000359
0.00035707859649,-0.000359,-0.000359,-0.000359
0.000382749447852,-0.000359,-0.000359,-0.000359
0.000410265810583,-0.000359,-0.000359,-0.000359
0.00043976036093,-0.000359,-0.000359,-0.00036
0.000471375313412,-0.00036,-0.00036,-0.00036
0.000505263106534,-0.00036,-0.00036,-0.00036
0.000541587137808,-0.00036,-0.00036,-0.00036
0.000580522551609,-0.00036,-0.00036,-0.00036
0.000622257083673,-0.00036,-0.000361,-0.000361
0.000666991966303,-0.000361,-0.000361,-0.000361
0.00071494289866,-0.000361,-0.000361,-0.000361
0.000766341086801,-0.000361,-0.000361,-0.000361
0.000821434358492,-0.000361,-0.000362,-0.000362
0.000880488358164,-0.000362,-0.000362,-0.000362
0.000943787827778,-0.000362,-0.000362,-0.000362
0.00101163797977,-0.000362,-0.000363,-0.000362
0.00108436596869,-0.000363,-0.000363,-0.000363
0.00116232246868,-0.000363,-0.000363,-0.000363
0.0012458833643,-0.000363,-0.000364,-0.000364
0.00133545156293,-0.000364,-0.000364,-0.000364
0.00143145893752,-0.000364,-0.000364,-0.000364
0.00153436840893,-0.000365,-0.000365,-0.000365
0.00164467617799,-0.000366,-0.000366,-0.000366
0.0017629141181,-0.000366,-0.000366,-0.000366
0.00188965233969,-0.000367,-0.000367,-0.000367
0.00202550193923,-0.000367,-0.000367,-0.000367
0.00217111794569,-0.000368,-0.000368,-0.000368
0.00232720247896,-0.000369,-0.000369,-0.000369
0.00249450813523,-0.00037,-0.00037,-0.00037
0.00267384161584,-0.000371,-0.000371,-0.000371
0.00286606761695,-0.000371,-0.000372,-0.000372
0.00307211299886,-0.000372,-0.000373,-0.000373
0.0032929712551,-0.000374,-0.000374,-0.000374
0.00352970730273,-0.000375,-0.000375,-0.000375
0.00378346261713,-0.000376,-0.000376,-0.000376
0.00405546073584,-0.000377,-0.000377,-0.000378
0.00434701315813,-0.000379,-0.000379,-0.000379
0.00465952566866,-0.00038,-0.00038,-0.00038
0.00499450511586,-0.000382,-0.000382,-0.000382
0.00535356667741,-0.000384,-0.000384,-0.000384
0.0057384416483,-0.000386,-0.000386,-0.000386
0.00615098578858,-0.000388,-0.000388,-0.000388
0.00659318827133,-0.00039,-0.00039,-0.00039
0.00706718127393,-0.000392,-0.000393,-0.000393
0.00757525025877,-0.000395,-0.000395,-0.000395
0.00811984499318,-0.000398,-0.000398,-0.000398
0.00870359136149,-0.0004,-0.000401,-0.000401
0.00932930402628,-0.000404,-0.000404,-0.000404
0.01,-0.000407,-0.000407,-0.000407
