time	V(vz)
0.000000000000000e+00	3.999994e+00
2.285714312425366e-07	3.999994e+00
4.571428624850733e-07	3.999994e+00
6.857142937276099e-07	3.999994e+00
9.142857249701465e-07	3.999994e+00
1.142857156212683e-06	3.999994e+00
1.371428587455220e-06	3.999994e+00
1.600000018697756e-06	3.999994e+00
3.200000037395512e-06	3.999995e+00
6.400000074791024e-06	4.000004e+00
7.200000084139901e-06	4.000009e+00
8.800000102837657e-06	4.000020e+00
1.200000014023317e-05	4.000043e+00
1.840000021502419e-05	4.000115e+00
3.120000036460624e-05	4.000344e+00
5.073125036460624e-05	4.000877e+00
7.026250036460625e-05	4.001629e+00
8.979375036460625e-05	4.002622e+00
1.093250003646063e-04	4.003864e+00
1.288562503646062e-04	4.005356e+00
1.483875003646062e-04	4.007089e+00
1.679187503646062e-04	4.009063e+00
1.874500003646062e-04	4.011278e+00
2.069812503646062e-04	4.013736e+00
2.265125003646062e-04	4.016436e+00
2.460437503646062e-04	4.019376e+00
2.655750003646062e-04	4.022556e+00
2.851062503646062e-04	4.025977e+00
3.046375003646063e-04	4.029637e+00
3.241687503646063e-04	4.033536e+00
3.437000003646063e-04	4.037673e+00
3.632312503646063e-04	4.042048e+00
4.022937503646064e-04	4.051506e+00
4.413562503646064e-04	4.061903e+00
4.804187503646064e-04	4.073234e+00
5.194812503646065e-04	4.085488e+00
5.780750003646065e-04	4.105587e+00
6.366687503646066e-04	4.127716e+00
6.952625003646066e-04	4.151845e+00
7.733875003646067e-04	4.187313e+00
8.515125003646068e-04	4.225943e+00
9.296375003646069e-04	4.267737e+00
1.007762500364607e-03	4.312695e+00
1.085887500364607e-03	4.360816e+00
1.164012500364607e-03	4.412101e+00
1.242137500364607e-03	4.466549e+00
1.364905357507464e-03	4.558298e+00
1.487673214650322e-03	4.655604e+00
1.610441071793179e-03	4.758469e+00
1.733208928936036e-03	4.866891e+00
1.855976786078893e-03	4.980871e+00
1.978744643221751e-03	5.100409e+00
2.101512500364608e-03	5.225505e+00
2.374950000364607e-03	5.522581e+00
2.648387500364608e-03	5.832194e+00
2.921825000364608e-03	6.154343e+00
3.195262500364608e-03	6.489029e+00
3.468700000364608e-03	6.836251e+00
3.742137500364608e-03	7.196010e+00
4.015575000364607e-03	7.568305e+00
4.400619643221742e-03	8.101523e+00
4.785664286078877e-03	8.642236e+00
5.170708928936011e-03	9.190446e+00
5.555753571793146e-03	9.746151e+00
5.940798214650281e-03	1.030935e+01
6.325842857507416e-03	1.088005e+01
6.710887500364550e-03	1.145824e+01
6.867137500364546e-03	1.169292e+01
7.023387500364543e-03	1.192815e+01
7.179637500364540e-03	1.216391e+01
7.335887500364536e-03	1.240021e+01
7.492137500364533e-03	1.263706e+01
7.648387500364530e-03	1.287444e+01
7.804637500364526e-03	1.311237e+01
7.843700000364526e-03	1.317188e+01
7.863231250364526e-03	1.320161e+01
7.882762500364526e-03	1.323067e+01
7.902293750364525e-03	1.325284e+01
7.921825000364525e-03	1.326191e+01
7.941356250364524e-03	1.326313e+01
7.960887500364524e-03	1.326325e+01
7.980418750364524e-03	1.326329e+01
7.999950000364523e-03	1.326336e+01
8.008494922239524e-03	1.326330e+01
1.000195312500000e-02	1.326331e+01
1.940429687499980e-02	1.326331e+01
1.999023437499979e-02	1.326331e+01
2.000000000000000e-02	1.326331e+01
