time	V(vz)
0.000000000000000e+00	8.999990e+00
2.285714312425366e-07	8.999990e+00
4.571428624850733e-07	8.999990e+00
6.857142937276099e-07	8.999990e+00
9.142857249701465e-07	8.999990e+00
1.142857156212683e-06	8.999990e+00
1.371428587455220e-06	8.999990e+00
1.600000018697756e-06	8.999990e+00
3.200000037395512e-06	8.999990e+00
6.400000074791024e-06	8.999995e+00
1.280000014958205e-05	9.000018e+00
2.560000029916409e-05	9.000100e+00
4.513125029916410e-05	9.000305e+00
6.466250029916410e-05	9.000610e+00
8.419375029916411e-05	9.001024e+00
1.037250002991641e-04	9.001546e+00
1.232562502991641e-04	9.002176e+00
1.427875002991641e-04	9.002915e+00
1.623187502991641e-04	9.003762e+00
1.818500002991641e-04	9.004718e+00
2.013812502991641e-04	9.005781e+00
2.209125002991641e-04	9.006954e+00
2.404437502991640e-04	9.008234e+00
2.599750002991640e-04	9.009623e+00
2.795062502991640e-04	9.011120e+00
2.990375002991641e-04	9.012724e+00
3.185687502991641e-04	9.014437e+00
3.381000002991641e-04	9.016258e+00
3.576312502991641e-04	9.018187e+00
3.771625002991641e-04	9.020224e+00
4.162250002991642e-04	9.024620e+00
4.552875002991642e-04	9.029447e+00
4.943500002991642e-04	9.034703e+00
5.334125002991642e-04	9.040389e+00
5.920062502991643e-04	9.049721e+00
6.506000002991643e-04	9.060013e+00
7.091937502991644e-04	9.071262e+00
7.677875002991644e-04	9.083466e+00
8.933455360134502e-04	9.112945e+00
1.018903571727736e-03	9.146611e+00
1.144461607442022e-03	9.184462e+00
1.270019643156308e-03	9.226500e+00
1.395577678870594e-03	9.272724e+00
1.521135714584880e-03	9.323134e+00
1.646693750299165e-03	9.377729e+00
1.830845536013451e-03	9.465378e+00
2.014997321727737e-03	9.560683e+00
2.199149107442023e-03	9.663642e+00
2.383300893156309e-03	9.774256e+00
2.567452678870595e-03	9.892525e+00
2.751604464584880e-03	1.001845e+01
2.935756250299166e-03	1.015203e+01
3.231515178870592e-03	1.038202e+01
3.527274107442017e-03	1.062563e+01
3.823033036013443e-03	1.088286e+01
4.118791964584868e-03	1.115372e+01
4.414550893156293e-03	1.143820e+01
4.710309821727719e-03	1.173630e+01
5.006068750299144e-03	1.204803e+01
5.472028571727705e-03	1.256152e+01
5.937988393156267e-03	1.309202e+01
6.403948214584829e-03	1.363954e+01
6.869908036013391e-03	1.420407e+01
7.335867857441953e-03	1.478560e+01
7.801827678870514e-03	1.538415e+01
8.267787500299075e-03	1.599971e+01
8.365443750299073e-03	1.612912e+01
8.384975000299073e-03	1.615502e+01
8.404506250299072e-03	1.618074e+01
8.424037500299072e-03	1.620101e+01
8.443568750299071e-03	1.621062e+01
8.463100000299071e-03	1.621286e+01
8.482631250299071e-03	1.621299e+01
8.502162500299070e-03	1.621302e+01
8.521693750299070e-03	1.621261e+01
8.524135156549069e-03	1.621272e+01
8.529017969049070e-03	1.621304e+01
8.537824470165141e-03	1.621304e+01
8.546630971281213e-03	1.621304e+01
8.555437472397284e-03	1.621304e+01
8.564243973513356e-03	1.621304e+01
8.573050474629427e-03	1.621304e+01
8.581856975745499e-03	1.621304e+01
8.590663476861569e-03	1.621304e+01
1.000188202766153e-02	1.621304e+01
1.933585386916894e-02	1.621304e+01
1.999991636916893e-02	1.621304e+01
2.000000000000000e-02	1.621304e+01
