Vin,R1I,R1V,R2I,R2V,R3I,R3V,R4I,R4V
3.65,0.02035,0.76,0.003,0.692,0.000309,0.632,3.13E-05,0.572
3.7,0.02035,0.76,0.00305,0.693,0.000314,0.632,3.18E-05,0.572
3.75,0.02035,0.76,0.0031,0.693,0.000319,0.632,3.23E-05,0.572
3.8,0.02035,0.76,0.00315,0.694,0.000324,0.633,3.28E-05,0.573
3.85,0.02035,0.76,0.0032,0.694,0.000329,0.633,3.33E-05,0.573
3.9,0.02035,0.76,0.00325,0.694,0.000334,0.634,3.38E-05,0.574
3.95,0.02035,0.76,0.0033,0.695,0.000339,0.634,3.42E-05,0.574
4,0.02035,0.76,0.00335,0.695,0.000343,0.634,3.48E-05,0.574
4.05,0.02034,0.76,0.0034,0.696,0.00035,0.635,3.53E-05,0.575
4.1,0.02034,0.76,0.00345,0.696,0.000354,0.635,3.58E-05,0.575
4.15,0.02034,0.76,0.0035,0.697,0.00036,0.636,3.63E-05,0.576
4.2,0.02034,0.76,0.00355,0.697,0.000364,0.636,3.68E-05,0.576
4.25,0.02034,0.76,0.0036,0.697,0.000369,0.636,3.73E-05,0.576
4.3,0.02034,0.76,0.00365,0.698,0.000374,0.637,3.78E-05,0.577
4.35,0.02034,0.76,0.0037,0.698,0.000379,0.637,3.83E-05,0.577
4.4,0.02034,0.76,0.00375,0.699,0.000384,0.638,3.88E-05,0.578
4.45,0.02034,0.76,0.0038,0.699,0.000389,0.638,3.93E-05,0.578
4.5,0.02034,0.759,0.00385,0.7,0.000394,0.638,3.98E-05,0.578
4.55,0.02034,0.759,0.0039,0.7,0.000399,0.638,4.03E-05,0.578
4.6,0.02033,0.759,0.00395,0.7,0.000405,0.639,4.09E-05,0.579
4.65,0.02033,0.759,0.004,0.701,0.00041,0.639,4.14E-05,0.579
4.7,0.02033,0.759,0.00405,0.701,0.000415,0.64,4.19E-05,0.58
4.75,0.02033,0.759,0.0041,0.701,0.00042,0.64,4.24E-05,0.58
4.8,0.02033,0.759,0.00415,0.702,0.000425,0.64,4.29E-05,0.58
4.85,0.02033,0.759,0.0042,0.702,0.00043,0.641,4.34E-05,0.581
4.9,0.02033,0.759,0.00425,0.702,0.000435,0.641,4.39E-05,0.581
4.95,0.02033,0.759,0.0043,0.703,0.00044,0.641,4.44E-05,0.581
5,0.02033,0.759,0.00435,0.703,0.000445,0.642,4.49E-05,0.581
