"Vbase","IbaseR1","IemitterR1","IbaseR2","IemitterR2","IbaseR3","IemitterR3"
3.55,0.0001228,-0.02042,1.241e-05,-0.00292,1.285e-06,-0.000292
3.6,0.0001252,-0.02042,1.263e-05,-0.00298,1.306e-06,-0.000297
3.65,0.0001275,-0.02042,1.285e-05,-0.00302,1.326e-06,-0.000302
3.7,0.0001299,-0.02042,1.307e-05,-0.00308,1.35e-06,-0.000307
3.75,0.0001322,-0.02042,1.328e-05,-0.00313,1.371e-06,-0.000311
3.8,0.0001345,-0.02042,1.35e-05,-0.00318,1.393e-06,-0.000316
3.85,0.0001356,-0.02042,1.371e-05,-0.00322,1.412e-06,-0.000321
3.9,0.0001364,-0.02042,1.393e-05,-0.00327,1.434e-06,-0.000326
3.95,0.0001372,-0.02042,1.415e-05,-0.00332,1.454e-06,-0.000331
4.0,0.0001379,-0.02042,1.437e-05,-0.00338,1.474e-06,-0.000336
4.05,0.0001388,-0.02042,1.461e-05,-0.00343,1.507e-06,-0.000341
4.1,0.0001395,-0.02042,1.484e-05,-0.00348,1.52e-06,-0.000346
4.15,0.0001403,-0.02042,1.506e-05,-0.00353,1.547e-06,-0.000351
4.2,0.0001411,-0.02042,1.528e-05,-0.00358,1.573e-06,-0.000356
4.25,0.0001419,-0.02042,1.549e-05,-0.00363,1.583e-06,-0.000361
4.3,0.0001426,-0.02042,1.572e-05,-0.00368,1.612e-06,-0.000366
4.35,0.0001435,-0.02042,1.594e-05,-0.00373,1.631e-06,-0.000371
4.4,0.0001444,-0.02042,1.615e-05,-0.00378,1.656e-06,-0.000376
4.45,0.0001453,-0.02042,1.638e-05,-0.00383,1.681e-06,-0.00038
4.5,0.0001464,-0.02042,1.66e-05,-0.00388,1.704e-06,-0.000386
4.55,0.0001478,-0.02042,1.683e-05,-0.00394,1.74e-06,-0.000392
4.6,0.0001493,-0.02042,1.706e-05,-0.00399,1.76e-06,-0.000397
4.65,0.0001513,-0.02042,1.729e-05,-0.00404,1.79e-06,-0.000402
4.7,0.0001538,-0.02042,1.752e-05,-0.00409,1.81e-06,-0.000407
4.75,0.0001567,-0.02042,1.775e-05,-0.00414,1.83e-06,-0.000412
4.8,0.0001603,-0.02042,1.798e-05,-0.00419,1.85e-06,-0.000418
4.85,0.0001646,-0.02042,1.821e-05,-0.00425,1.87e-06,-0.000422
4.9,0.0001696,-0.02042,1.843e-05,-0.0043,1.89e-06,-0.000427
4.95,0.0001754,-0.02042,1.866e-05,-0.00435,1.92e-06,-0.000432
5.0,0.000182,-0.02042,1.889e-05,-0.0044,1.94e-06,-0.000437
