"V1","V2","I1","I2","V"
2.052,2.5,0.000204,0.000155,4.114
2.056,2.5,0.000204,0.0001554,4.355
2.06,2.5,0.000203,0.0001558,4.114
2.064,2.5,0.000202,0.0001559,4.36
2.068,2.5,0.000201,0.0001562,4.114
2.072,2.5,0.0002,0.0001565,4.36
2.076,2.5,0.0002,0.0001568,4.114
2.08,2.5,0.000199,0.0001571,4.36
2.084,2.5,0.000198,0.0001574,4.114
2.088,2.5,0.000198,0.0001577,4.365
2.092,2.5,0.000197,0.0001581,4.114
2.096,2.5,0.000196,0.0001583,4.365
2.1,2.5,0.000195,0.0001586,4.114
2.104,2.5,0.000195,0.0001589,4.37
2.108,2.5,0.000194,0.0001592,4.114
2.112,2.5,0.000193,0.0001596,4.37
2.116,2.5,0.000192,0.0001597,4.114
2.12,2.5,0.000192,0.00016,4.114
2.124,2.5,0.000191,0.0001603,4.37
2.128,2.5,0.00019,0.0001607,4.114
2.132,2.5,0.000189,0.0001609,4.375
2.136,2.5,0.000188,0.0001612,4.114
2.14,2.5,0.000188,0.0001615,4.375
2.144,2.5,0.000187,0.0001618,4.114
2.148,2.5,0.000186,0.0001621,4.38
2.152,2.5,0.000186,0.0001624,4.114
2.156,2.5,0.000185,0.0001627,4.38
2.16,2.5,0.000184,0.0001629,4.114
2.164,2.5,0.000183,0.0001634,4.38
2.168,2.5,0.000183,0.0001636,4.114
2.172,2.5,0.000182,0.0001639,4.385
2.176,2.5,0.000181,0.0001643,4.114
2.18,2.5,0.000181,0.0001645,4.385
2.184,2.5,0.00018,0.0001647,4.114
2.188,2.5,0.000179,0.000165,4.385
2.192,2.5,0.000178,0.0001653,4.114
2.196,2.5,0.000177,0.0001656,4.39
2.2,2.5,0.000177,0.0001659,4.114
2.204,2.5,0.000176,0.0001662,4.39
2.208,2.5,0.000175,0.0001664,4.114
2.212,2.5,0.000175,0.0001668,4.395
2.216,2.5,0.000174,0.0001671,4.114
2.22,2.5,0.000173,0.0001673,4.395
2.224,2.5,0.000172,0.0001676,4.114
2.228,2.5,0.000172,0.0001678,4.395
2.232,2.5,0.000171,0.0001682,4.114
2.236,2.5,0.00017,0.0001684,4.4
2.24,2.5,0.000169,0.0001687,4.114
2.244,2.5,0.000169,0.0001691,4.4
2.248,2.5,0.000168,0.0001693,4.114
2.252,2.5,0.000167,0.0001696,4.4
2.256,2.5,0.000166,0.00017,4.114
2.26,2.5,0.000166,0.0001703,4.405
2.264,2.5,0.000165,0.0001706,4.114
2.268,2.5,0.000164,0.0001708,4.405
2.272,2.5,0.000164,0.0001711,4.114
2.276,2.5,0.000163,0.0001715,4.405
2.28,2.5,0.000162,0.0001717,4.114
2.284,2.5,0.000161,0.000172,4.41
2.288,2.5,0.00016,0.0001723,4.114
2.292,2.5,0.00016,0.0001726,4.41
2.296,2.5,0.000159,0.0001728,4.114
2.3,2.5,0.000159,0.0001731,4.415
2.304,2.5,0.000158,0.0001732,4.114
2.308,2.5,0.000157,0.0001736,4.415
2.312,2.5,0.000156,0.0001738,4.114
2.316,2.5,0.000156,0.0001741,4.415
2.32,2.5,0.000155,0.0001744,4.114
2.324,2.5,0.000154,0.0001747,4.42
2.328,2.5,0.000154,0.000175,4.114
2.332,2.5,0.000152,0.0001751,4.42
2.336,2.5,0.000152,0.0001755,4.114
2.34,2.5,0.000151,0.0001757,4.42
2.344,2.5,0.000151,0.000176,4.114
2.348,2.5,0.00015,0.0001762,4.425
2.352,2.5,0.000149,0.0001765,4.114
2.356,2.5,0.000149,0.0001768,4.425
2.36,2.5,0.000148,0.0001771,4.114
2.364,2.5,0.000147,0.0001774,4.425
2.368,2.5,0.000146,0.0001777,4.114
2.372,2.5,0.000146,0.0001779,4.43
2.376,2.5,0.000145,0.0001782,4.114
2.38,2.5,0.000144,0.0001785,4.43
2.384,2.5,0.000144,0.0001787,4.114
2.388,2.5,0.000143,0.000179,4.43
2.392,2.5,0.000142,0.0001793,4.114
2.396,2.5,0.000142,0.0001795,4.435
2.4,2.5,0.000141,0.0001798,4.114
2.404,2.5,0.00014,0.00018,4.435
2.408,2.5,0.00014,0.0001803,4.114
2.412,2.5,0.000139,0.0001808,4.44
2.416,2.5,0.000138,0.0001809,4.114
2.42,2.5,0.000138,0.0001811,4.44
2.424,2.5,0.000137,0.0001814,4.114
2.428,2.5,0.000136,0.0001816,4.44
2.432,2.5,0.000136,0.000182,4.114
2.436,2.5,0.000135,0.0001822,4.445
2.44,2.5,0.000134,0.0001825,4.114
2.444,2.5,0.000133,0.0001828,4.445
2.448,2.5,0.000133,0.0001829,4.114
2.452,2.5,0.000132,0.0001833,4.445
2.456,2.5,0.000131,0.0001837,4.114
2.46,2.5,0.000131,0.0001838,4.45
2.464,2.5,0.00013,0.0001841,4.114
2.468,2.5,0.000129,0.0001844,4.45
2.472,2.5,0.000129,0.0001848,4.114
2.476,2.5,0.000128,0.0001849,4.45
2.48,2.5,0.000127,0.0001852,4.114
2.484,2.5,0.000127,0.0001854,4.45
2.488,2.5,0.000126,0.0001857,4.114
2.492,2.5,0.000125,0.000186,4.455
2.496,2.5,0.000125,0.0001862,4.114
2.5,2.5,0.000124,0.0001865,4.455
2.504,2.5,0.000123,0.0001867,4.114
2.508,2.5,0.000123,0.000187,4.455
2.512,2.5,0.000122,0.0001873,4.114
2.516,2.5,0.000121,0.0001875,4.46
2.52,2.5,0.00012,0.0001878,4.114
2.524,2.5,0.00012,0.000188,4.46
2.528,2.5,0.000119,0.0001883,4.114
2.532,2.5,0.000119,0.0001886,4.46
2.536,2.5,0.000118,0.0001889,4.114
2.54,2.5,0.000117,0.0001891,4.465
2.544,2.5,0.000117,0.0001894,4.114
2.548,2.5,0.000116,0.0001896,4.465
2.552,2.5,0.000115,0.0001898,4.114
2.556,2.5,0.000115,0.0001901,4.465
2.56,2.5,0.000114,0.0001904,4.114
2.564,2.5,0.000113,0.0001906,4.47
2.568,2.5,0.000113,0.0001909,4.114
2.572,2.5,0.000112,0.0001912,4.47
2.576,2.5,0.000111,0.0001914,4.114
2.58,2.5,0.000111,0.0001916,4.47
2.584,2.5,0.00011,0.0001918,4.114
2.588,2.5,0.000109,0.0001921,4.475
2.592,2.5,0.000109,0.0001924,4.114
2.596,2.5,0.000108,0.0001926,4.475
2.6,2.5,0.000108,0.0001928,4.114
2.604,2.5,0.000107,0.0001931,4.475
2.608,2.5,0.000106,0.0001933,4.114
2.612,2.5,0.000106,0.0001935,4.48
2.616,2.5,0.000105,0.0001938,4.114
2.62,2.5,0.000104,0.0001941,4.48
2.624,2.5,0.000104,0.0001943,4.114
2.628,2.5,0.000103,0.0001946,4.48
2.632,2.5,0.000103,0.0001948,4.114
2.636,2.5,0.000102,0.0001951,4.485
2.64,2.5,0.000101,0.0001954,4.114
2.644,2.5,0.000101,0.0001955,4.485
