"V1","V2","I1","I2","V"
0.0,0.5,1.72e-08,3e-10,1.084
0.002,0.5,1.74e-08,2e-10,1.086
0.004,0.5,1.73e-08,4e-10,1.088
0.006,0.5,1.74e-08,8e-10,1.09
0.008,0.5,1.73e-08,4e-10,1.092
0.01,0.5,1.75e-08,2e-10,1.093
0.012,0.5,1.73e-08,7e-10,1.095
0.014,0.5,1.73e-08,6e-10,1.097
0.016,0.5,1.73e-08,7e-10,1.099
0.018,0.5,1.73e-08,5e-10,1.101
0.02,0.5,1.69e-08,2e-10,1.103
0.022,0.5,1.74e-08,1e-10,1.105
0.024,0.5,1.74e-08,2e-10,1.107
0.026,0.5,1.72e-08,3e-10,1.109
0.028,0.5,1.69e-08,5e-10,1.11
0.03,0.5,1.73e-08,3e-10,1.112
0.032,0.5,1.74e-08,3e-10,1.114
0.034,0.5,1.72e-08,5e-10,1.116
0.036,0.5,1.78e-08,4e-10,1.118
0.038,0.5,1.7e-08,5e-10,1.12
0.04,0.5,1.72e-08,4e-10,1.122
0.042,0.5,1.71e-08,-1e-10,1.123
0.044,0.5,1.71e-08,7e-10,1.125
0.046,0.5,1.71e-08,-0.0,1.127
0.048,0.5,1.72e-08,2e-10,1.129
0.05,0.5,1.71e-08,-1e-10,1.131
0.052,0.5,1.7e-08,4e-10,1.133
0.054,0.5,1.69e-08,6e-10,1.135
0.056,0.5,1.73e-08,7e-10,1.137
0.058,0.5,1.7e-08,1e-10,1.139
0.06,0.5,1.72e-08,2e-10,1.14
0.062,0.5,1.71e-08,7e-10,1.142
0.064,0.5,1.72e-08,4e-10,1.144
0.066,0.5,1.73e-08,-0.0,1.146
0.068,0.5,1.75e-08,4e-10,1.148
0.07,0.5,1.71e-08,6e-10,1.15
0.072,0.5,1.72e-08,2e-10,1.151
0.074,0.5,1.75e-08,6e-10,1.153
0.076,0.5,1.69e-08,2e-10,1.155
0.078,0.5,1.7e-08,3e-10,1.157
0.08,0.5,1.67e-08,6e-10,1.159
0.082,0.5,1.74e-08,-0.0,1.161
0.084,0.5,1.71e-08,5e-10,1.163
0.086,0.5,1.73e-08,4e-10,1.165
0.088,0.5,1.72e-08,1e-10,1.166
0.09,0.5,1.75e-08,3e-10,1.168
0.092,0.5,1.7e-08,3e-10,1.17
0.094,0.5,1.74e-08,6e-10,1.172
0.096,0.5,1.68e-08,-2e-10,1.174
0.098,0.5,1.77e-08,4e-10,1.175
0.1,0.5,1.68e-08,7e-10,1.177
0.102,0.5,1.72e-08,5e-10,1.179
0.104,0.5,1.7e-08,4e-10,1.181
0.106,0.5,1.74e-08,1e-10,1.183
0.108,0.5,1.73e-08,5e-10,1.185
0.11,0.5,1.7e-08,5e-10,1.187
0.112,0.5,1.72e-08,4e-10,1.188
0.114,0.5,1.76e-08,7e-10,1.19
0.116,0.5,1.65e-08,2e-10,1.192
0.118,0.5,1.69e-08,5e-10,1.194
0.12,0.5,1.69e-08,6e-10,1.196
0.122,0.5,1.72e-08,2e-10,1.198
0.124,0.5,1.71e-08,6e-10,1.2
0.126,0.5,1.72e-08,2e-10,1.202
0.128,0.5,1.72e-08,6e-10,1.204
0.13,0.5,1.71e-08,7e-10,1.205
0.132,0.5,1.73e-08,5e-10,1.207
0.134,0.5,1.7e-08,4e-10,1.209
0.136,0.5,1.71e-08,4e-10,1.211
0.138,0.5,1.7e-08,1e-10,1.213
0.14,0.5,1.69e-08,4e-10,1.215
0.142,0.5,1.74e-08,-1e-10,1.216
0.144,0.5,1.7e-08,6e-10,1.218
0.146,0.5,1.7e-08,7e-10,1.22
0.148,0.5,1.71e-08,2e-10,1.222
0.15,0.5,1.73e-08,5e-10,1.224
0.152,0.5,1.7e-08,5e-10,1.225
0.154,0.5,1.69e-08,3e-10,1.227
0.156,0.5,1.75e-08,3e-10,1.229
0.158,0.5,1.71e-08,7e-10,1.231
0.16,0.5,1.7e-08,1e-10,1.233
0.162,0.5,1.74e-08,4e-10,1.235
0.164,0.5,1.73e-08,1e-10,1.236
0.166,0.5,1.69e-08,3e-10,1.238
0.168,0.5,1.73e-08,7e-10,1.24
0.17,0.5,1.73e-08,8e-10,1.242
0.172,0.5,1.71e-08,3e-10,1.244
0.174,0.5,1.7e-08,2e-10,1.245
0.176,0.5,1.75e-08,6e-10,1.247
0.178,0.5,1.71e-08,1e-10,1.249
0.18,0.5,1.72e-08,7e-10,1.251
0.182,0.5,1.71e-08,7e-10,1.253
0.184,0.5,1.69e-08,5e-10,1.255
0.186,0.5,1.71e-08,2e-10,1.256
0.188,0.5,1.71e-08,5e-10,1.258
0.19,0.5,1.7e-08,7e-10,1.26
0.192,0.5,1.74e-08,6e-10,1.262
0.194,0.5,1.72e-08,4e-10,1.264
0.196,0.5,1.67e-08,5e-10,1.266
0.198,0.5,1.73e-08,3e-10,1.268
0.2,0.5,1.66e-08,5e-10,1.27
0.202,0.5,1.68e-08,3e-10,1.271
0.204,0.5,1.71e-08,4e-10,1.273
0.206,0.5,1.72e-08,3e-10,1.275
0.208,0.5,1.72e-08,5e-10,1.277
0.21,0.5,1.73e-08,1e-10,1.279
0.212,0.5,1.75e-08,8e-10,1.281
0.214,0.5,1.73e-08,1e-10,1.283
0.216,0.5,1.69e-08,7e-10,1.284
0.218,0.5,1.71e-08,5e-10,1.286
0.22,0.5,1.66e-08,6e-10,1.288
0.222,0.5,1.71e-08,7e-10,1.29
0.224,0.5,1.74e-08,3e-10,1.292
0.226,0.5,1.71e-08,6e-10,1.293
0.228,0.5,1.7e-08,8e-10,1.295
0.23,0.5,1.69e-08,3e-10,1.297
0.232,0.5,1.7e-08,4e-10,1.299
0.234,0.5,1.68e-08,5e-10,1.301
0.236,0.5,1.69e-08,-1e-10,1.303
0.238,0.5,1.75e-08,6e-10,1.304
0.24,0.5,1.73e-08,3e-10,1.306
0.242,0.5,1.66e-08,5e-10,1.308
0.244,0.5,1.66e-08,4e-10,1.31
0.246,0.5,1.7e-08,4e-10,1.312
0.248,0.5,1.71e-08,3e-10,1.314
0.25,0.5,1.71e-08,3e-10,1.316
0.252,0.5,1.7e-08,1e-10,1.317
0.254,0.5,1.72e-08,4e-10,1.319
0.256,0.5,1.7e-08,6e-10,1.321
0.258,0.5,1.71e-08,5e-10,1.323
0.26,0.5,1.72e-08,5e-10,1.325
0.262,0.5,1.72e-08,5e-10,1.327
0.264,0.5,1.69e-08,4e-10,1.328
0.266,0.5,1.71e-08,3e-10,1.33
0.268,0.5,1.68e-08,5e-10,1.332
0.27,0.5,1.74e-08,1e-10,1.334
0.272,0.5,1.7e-08,7e-10,1.336
0.274,0.5,1.7e-08,5e-10,1.338
0.276,0.5,1.7e-08,4e-10,1.339
0.278,0.5,1.74e-08,4e-10,1.341
0.28,0.5,1.75e-08,5e-10,1.343
0.282,0.5,1.74e-08,3e-10,1.345
0.284,0.5,1.75e-08,3e-10,1.347
0.286,0.5,1.71e-08,2e-10,1.349
0.288,0.5,1.67e-08,8e-10,1.351
0.29,0.5,1.73e-08,6e-10,1.353
0.292,0.5,1.7e-08,1e-09,1.354
0.294,0.5,1.69e-08,4e-10,1.356
0.296,0.5,1.69e-08,1e-10,1.358
0.298,0.5,1.74e-08,3e-10,1.36
0.3,0.5,1.74e-08,1e-10,1.362
0.302,0.5,1.72e-08,9e-10,1.364
0.304,0.5,1.72e-08,7e-10,1.365
0.306,0.5,1.7e-08,5e-10,1.367
0.308,0.5,1.73e-08,3e-10,1.369
0.31,0.5,1.71e-08,3e-10,1.371
0.312,0.5,1.67e-08,2e-10,1.373
0.314,0.5,1.71e-08,5e-10,1.375
0.316,0.5,1.72e-08,6e-10,1.376
0.318,0.5,1.7e-08,3e-10,1.378
0.32,0.5,1.68e-08,2e-10,1.38
0.322,0.5,1.7e-08,4e-10,1.382
0.324,0.5,1.7e-08,2e-10,1.384
0.326,0.5,1.7e-08,7e-10,1.386
0.328,0.5,1.72e-08,4e-10,1.388
0.33,0.5,1.71e-08,4e-10,1.389
0.332,0.5,1.67e-08,2e-10,1.391
0.334,0.5,1.75e-08,2e-10,1.393
0.336,0.5,1.71e-08,8e-10,1.395
0.338,0.5,1.69e-08,5e-10,1.397
0.34,0.5,1.68e-08,1e-10,1.399
0.342,0.5,1.68e-08,4e-10,1.4
0.344,0.5,1.68e-08,6e-10,1.402
0.346,0.5,1.69e-08,4e-10,1.404
0.348,0.5,1.68e-08,6e-10,1.406
0.35,0.5,1.65e-08,7e-10,1.408
0.352,0.5,1.73e-08,2e-10,1.409
0.354,0.5,1.68e-08,5e-10,1.411
0.356,0.5,1.64e-08,4e-10,1.413
0.358,0.5,1.68e-08,6e-10,1.415
0.36,0.5,1.71e-08,4e-10,1.417
0.362,0.5,1.67e-08,8e-10,1.419
0.364,0.5,1.72e-08,5e-10,1.421
0.366,0.5,1.67e-08,6e-10,1.422
0.368,0.5,1.69e-08,7e-10,1.424
0.37,0.5,1.67e-08,5e-10,1.426
0.372,0.5,1.71e-08,3e-10,1.428
0.374,0.5,1.69e-08,9e-10,1.43
0.376,0.5,1.69e-08,8e-10,1.431
0.378,0.5,1.69e-08,3e-10,1.433
0.38,0.5,1.66e-08,1e-09,1.435
0.382,0.5,1.71e-08,9e-10,1.437
0.384,0.5,1.68e-08,5e-10,1.439
0.386,0.5,1.7e-08,5e-10,1.441
0.388,0.5,1.67e-08,6e-10,1.442
0.39,0.5,1.62e-08,1e-09,1.444
0.392,0.5,1.63e-08,1.3e-09,1.446
0.394,0.5,1.66e-08,7e-10,1.447
0.396,0.5,1.65e-08,6e-10,1.449
0.398,0.5,1.64e-08,8e-10,1.451
0.4,0.5,1.61e-08,8e-10,1.453
0.402,0.5,1.66e-08,1e-09,1.455
0.404,0.5,1.68e-08,1e-09,1.456
0.406,0.5,1.62e-08,9e-10,1.458
0.408,0.5,1.61e-08,1.2e-09,1.46
0.41,0.5,1.62e-08,1.3e-09,1.462
0.412,0.5,1.62e-08,1.4e-09,1.463
0.414,0.5,1.66e-08,7e-10,1.465
0.416,0.5,1.58e-08,1.2e-09,1.467
0.418,0.5,1.64e-08,1.8e-09,1.468
0.42,0.5,1.58e-08,1.3e-09,1.47
0.422,0.5,1.61e-08,2.1e-09,1.472
0.424,0.5,1.57e-08,1.6e-09,1.474
0.426,0.5,1.56e-08,1.7e-09,1.475
0.428,0.5,1.57e-08,1.8e-09,1.477
0.43,0.5,1.52e-08,2.6e-09,1.479
0.432,0.5,1.53e-08,2e-09,1.48
0.434,0.5,1.57e-08,2.1e-09,1.482
