"V1","V2","I1","I2","V"
1.0,1.5,8e-10,1.67e-08,2.012
1.002,1.5,1e-10,1.68e-08,2.014
1.004,1.5,4e-10,1.68e-08,2.016
1.006,1.5,-0.0,1.67e-08,2.018
1.008,1.5,3e-10,1.65e-08,2.02
1.01,1.5,4e-10,1.64e-08,2.022
1.012,1.5,6e-10,1.67e-08,2.024
1.014,1.5,2e-10,1.7e-08,2.026
1.016,1.5,3e-10,1.66e-08,2.028
1.018,1.5,2e-10,1.67e-08,2.03
1.02,1.5,6e-10,1.69e-08,2.032
1.022,1.5,4e-10,1.62e-08,2.034
1.024,1.5,1e-10,1.7e-08,2.034
1.026,1.5,1e-10,1.64e-08,2.036
1.028,1.5,6e-10,1.66e-08,2.038
1.03,1.5,7e-10,1.66e-08,2.04
1.032,1.5,4e-10,1.66e-08,2.042
1.034,1.5,5e-10,1.67e-08,2.044
1.036,1.5,8e-10,1.65e-08,2.046
1.038,1.5,4e-10,1.7e-08,2.048
1.04,1.5,2e-10,1.66e-08,2.05
1.042,1.5,-1e-10,1.67e-08,2.052
1.044,1.5,3e-10,1.69e-08,2.054
1.046,1.5,4e-10,1.69e-08,2.056
1.048,1.5,5e-10,1.64e-08,2.058
1.05,1.5,2e-10,1.7e-08,2.058
1.052,1.5,8e-10,1.66e-08,2.06
1.054,1.5,5e-10,1.68e-08,2.062
1.056,1.5,2e-10,1.66e-08,2.064
1.058,1.5,4e-10,1.67e-08,2.066
1.06,1.5,5e-10,1.66e-08,2.068
1.062,1.5,3e-10,1.66e-08,2.07
1.064,1.5,-0.0,1.65e-08,2.072
1.066,1.5,5e-10,1.64e-08,2.074
1.068,1.5,4e-10,1.67e-08,2.076
1.07,1.5,4e-10,1.69e-08,2.076
1.072,1.5,2e-10,1.66e-08,2.078
1.074,1.5,2e-10,1.7e-08,2.08
1.076,1.5,2e-10,1.68e-08,2.082
1.078,1.5,6e-10,1.67e-08,2.084
1.08,1.5,4e-10,1.66e-08,2.086
1.082,1.5,3e-10,1.66e-08,2.088
1.084,1.5,4e-10,1.63e-08,2.09
