"V1","Vout"
3.47,1.36e-05
3.48,1.29e-05
3.49,1.21e-05
3.5,1.082e-05
3.51,1.109e-05
3.52,1.066e-05
3.53,1.028e-05
3.54,9.94e-06
3.55,9.69e-06
3.56,9.4e-06
3.57,9.18e-06
3.58,8.97e-06
3.59,8.79e-06
3.6,8.64e-06
3.61,8.51e-06
3.62,8.37e-06
3.63,8.26e-06
3.64,8.16e-06
3.65,8.06e-06
3.66,7.95e-06
3.67,7.87e-06
3.68,7.81e-06
3.69,7.73e-06
3.7,7.67e-06
3.71,7.59e-06
3.72,7.54e-06
3.73,7.48e-06
3.74,7.42e-06
3.75,7.36e-06
3.76,7.31e-06
3.77,7.24e-06
3.78,7.2e-06
3.79,7.15e-06
3.8,7.1e-06
3.81,7.05e-06
3.82,7e-06
3.83,6.95e-06
3.84,6.9e-06
3.85,6.84e-06
3.86,6.79e-06
3.87,6.75e-06
3.88,6.7e-06
3.89,6.66e-06
3.9,6.6e-06
3.91,6.56e-06
3.92,6.51e-06
3.93,6.45e-06
3.94,6.42e-06
3.95,6.36e-06
3.96,6.33e-06
3.97,6.26e-06
3.98,6.22e-06
3.99,6.18e-06
4.0,6.12e-06
4.01,5.83e-06
4.02,5.95e-06
4.03,5.9e-06
4.04,5.86e-06
4.05,5.81e-06
4.06,5.73e-06
4.07,5.7e-06
4.08,5.65e-06
4.09,5.6e-06
4.1,5.56e-06
4.11,5.51e-06
4.12,5.45e-06
4.13,5.4e-06
4.14,5.35e-06
4.15,5.3e-06
4.16,5.24e-06
4.17,5.2e-06
4.18,5.15e-06
4.19,5.1e-06
4.2,5.04e-06
4.21,4.98e-06
4.22,4.93e-06
4.23,4.9e-06
4.24,5.86e-06
4.25,4.78e-06
4.26,4.71e-06
4.27,4.65e-06
4.28,4.59e-06
4.29,4.53e-06
4.3,4.47e-06
4.31,4.42e-06
4.32,4.34e-06
4.33,4.29e-06
4.34,4.21e-06
4.35,4.16e-06
4.36,4.09e-06
4.37,4.02e-06
4.38,5.29e-06
4.39,3.9e-06
4.4,3.8e-06
4.41,3.72e-06
4.42,3.64e-06
4.43,3.56e-06
4.44,3.47e-06
4.45,3.37e-06
4.46,3.37e-06
4.47,1.877e-06
4.48,9.9e-05
4.49,1.676e-07
4.5,0.00163
4.51,1.817e-06
4.52,0.000205
4.53,1.6e-07
4.54,0.0016
4.55,1.721e-06
4.56,9.2e-05
4.57,1.407e-07
4.58,0.00134
4.59,1.196e-06
4.6,1.588e-07
4.61,0.000112
4.62,1.7e-08
4.63,0.000137
4.64,-2.48e-07
4.65,-2.003e-07
4.66,-0.000117
4.67,-1.98e-07
4.68,-0.00124
4.69,-1.976e-06
4.7,-1.09e-05
4.71,-2.002e-07
4.72,-0.00127
4.73,-1.992e-07
4.74,-0.00012
4.75,-1.992e-07
4.76,-0.00132
4.77,-2e-06
4.78,-0.00111
4.79,-2.002e-06
4.8,-0.00113
4.81,-2.003e-06
4.82,-0.00116
4.83,-2.005e-06
4.84,-0.00119
4.85,-2.006e-06
4.86,-0.00119
4.87,-2.008e-06
4.88,-0.0012
4.89,-2.009e-06
4.9,-0.00122
4.91,-2.011e-06
4.92,-0.00124
4.93,-2.012e-06
4.94,-0.00125
4.95,-2.013e-06
4.96,-0.00125
4.97,-2.014e-06
4.98,-0.00126
4.99,-2.015e-06
5.0,-0.00126
