"V1","Vout"
3.04,-9.9e-05
3.05,-3.4e-09
3.06,-9.9e-05
3.07,-2.8e-09
3.08,-9.9e-05
3.09,7e-10
3.1,-9.8e-05
3.11,5.1e-09
3.12,-1.03e-05
3.13,2.56e-08
3.14,-1.01e-05
3.15,2.64e-08
3.16,-1.01e-05
3.17,2.85e-08
3.18,-1.01e-05
3.19,3.38e-08
3.2,-9.9e-06
3.21,3.32e-08
3.22,-9.9e-06
3.23,3.43e-08
3.24,-9.9e-06
3.25,3.58e-08
3.26,-9.8e-06
3.27,3.82e-08
3.28,-9.7e-06
3.29,4.13e-08
3.3,-1.12e-05
3.31,4.9e-08
3.32,-9.4e-06
3.33,5.41e-08
3.34,-9.1e-06
3.35,4.76e-08
3.36,-9.1e-06
3.37,5.51e-08
3.38,-9.1e-06
3.39,5.73e-08
3.4,-9.7e-07
3.41,5.73e-08
3.42,-9.5e-07
3.43,6.36e-08
3.44,-1.8e-07
3.45,5.4e-09
3.46,-9.5e-06
3.47,6.93e-08
3.48,3.26e-08
3.49,-9.4e-07
3.5,7.05e-08
3.51,4.06e-08
3.52,4.26e-08
3.53,4.34e-08
3.54,4.55e-08
3.55,4.65e-08
3.56,4.64e-08
3.57,4.73e-08
3.58,4.78e-08
3.59,5.63e-08
3.6,5.89e-08
3.61,5.76e-08
3.62,5.93e-08
3.63,6.36e-08
3.64,6.67e-08
3.65,6.49e-08
3.66,6.86e-08
3.67,6.78e-08
3.68,7e-08
3.69,7.2e-08
3.7,7.61e-08
3.71,7.95e-08
3.72,7.94e-08
3.73,7.98e-08
3.74,8.05e-08
3.75,8.33e-08
3.76,8.75e-08
3.77,8.56e-08
3.78,8.91e-08
3.79,8.91e-08
3.8,9.19e-08
3.81,1.022e-07
3.82,9.74e-08
3.83,1.031e-07
3.84,1.073e-07
3.85,1.118e-07
3.86,1.118e-07
3.87,1.14e-07
3.88,1.177e-07
3.89,1.19e-07
3.9,1.201e-07
3.91,1.208e-07
3.92,1.251e-07
3.93,1.246e-07
3.94,1.252e-07
3.95,1.296e-07
3.96,1.283e-07
3.97,1.323e-07
3.98,1.261e-07
3.99,1.324e-07
4.0,1.352e-07
4.01,1.975e-07
4.02,1.07e-06
4.03,1.732e-07
4.04,1.844e-07
4.05,1.876e-07
4.06,1.888e-07
4.07,1.891e-07
4.08,1.904e-07
4.09,1.923e-07
4.1,1.929e-07
4.11,1.934e-07
4.12,1.939e-07
4.13,1.95e-07
4.14,1.956e-07
4.15,1.964e-07
4.16,1.99e-07
4.17,1.984e-07
4.18,1.985e-07
4.19,1.982e-07
4.2,1.994e-07
4.21,2.002e-07
4.22,2.006e-07
4.23,2.014e-07
4.24,2.018e-07
4.25,2.022e-07
4.26,2.028e-07
4.27,2.031e-07
4.28,2.039e-07
4.29,2.038e-07
4.3,2.042e-07
4.31,6.05e-07
4.32,1.911e-07
4.33,2.03e-07
4.34,2.047e-07
4.35,4.57e-07
4.36,1.926e-07
4.37,2.042e-07
4.38,6.33e-07
4.39,1.95e-07
4.4,2.045e-07
4.41,9.7e-06
4.42,1.969e-07
4.43,2.047e-07
4.44,1e-05
4.45,1.974e-07
4.46,2.048e-07
4.47,1.04e-05
4.48,1.983e-07
4.49,2.048e-07
4.5,0.00011
4.51,1.986e-07
4.52,5.25e-07
4.53,1.989e-07
4.54,1.27e-06
4.55,1.988e-07
4.56,1e-05
4.57,1.987e-07
4.58,1.01e-05
4.59,1.987e-07
4.6,1.02e-05
4.61,1.988e-07
4.62,0.000105
4.63,1.987e-07
4.64,0.000105
4.65,1.987e-07
4.66,0.000109
4.67,1.987e-07
4.68,0.00011
4.69,1.987e-07
4.7,0.000111
4.71,1.987e-07
4.72,0.000111
4.73,1.987e-07
4.74,0.000112
4.75,1.987e-07
4.76,0.000113
4.77,1.987e-07
4.78,0.000114
4.79,1.987e-07
4.8,0.000114
4.81,1.987e-07
4.82,0.000115
4.83,1.987e-07
4.84,0.000115
4.85,1.987e-07
4.86,0.000116
4.87,1.988e-07
4.88,0.000118
4.89,1.989e-07
4.9,0.000119
4.91,1.988e-07
4.92,0.00121
4.93,1.999e-07
4.94,0.00122
4.95,1.988e-07
4.96,0.00124
4.97,1.989e-07
4.98,0.00125
4.99,1.989e-07
5.0,0.00126
