"V1","Vout"
3.24,8.04e-06
3.25,8.05e-06
3.26,7.98e-06
3.27,7.95e-06
3.28,7.92e-06
3.29,7.9e-06
3.3,7.87e-06
3.31,7.84e-06
3.32,7.82e-06
3.33,7.78e-06
3.34,7.76e-06
3.35,7.73e-06
3.36,7.69e-06
3.37,7.67e-06
3.38,8.55e-06
3.39,8.1e-06
3.4,7.61e-06
3.41,7.76e-06
3.42,7.58e-06
3.43,7.49e-06
3.44,7.47e-06
3.45,8.78e-06
3.46,7.58e-06
3.47,7.42e-06
3.48,7.49e-06
3.49,7.36e-06
3.5,7.29e-06
3.51,7.26e-06
3.52,8.26e-06
3.53,7.21e-06
3.54,7.17e-06
3.55,7.14e-06
3.56,7.1e-06
3.57,7.08e-06
3.58,7.05e-06
3.59,7.02e-06
3.6,6.98e-06
3.61,6.96e-06
3.62,6.92e-06
3.63,6.89e-06
3.64,6.86e-06
3.65,6.83e-06
3.66,6.8e-06
3.67,6.77e-06
3.68,6.74e-06
3.69,6.71e-06
3.7,6.67e-06
3.71,6.64e-06
3.72,6.61e-06
3.73,6.58e-06
3.74,6.55e-06
3.75,6.52e-06
3.76,6.49e-06
3.77,6.45e-06
3.78,6.43e-06
3.79,6.4e-06
3.8,6.36e-06
3.81,6.34e-06
3.82,6.3e-06
3.83,6.27e-06
3.84,6.23e-06
3.85,6.22e-06
3.86,6.17e-06
3.87,6.13e-06
3.88,6.1e-06
3.89,6.06e-06
3.9,6.03e-06
3.91,6e-06
3.92,5.96e-06
3.93,5.93e-06
3.94,5.89e-06
3.95,5.86e-06
3.96,5.79e-06
3.97,5.76e-06
3.98,5.72e-06
3.99,5.68e-06
4.0,5.65e-06
4.01,5.44e-06
4.02,5.54e-06
4.03,5.5e-06
4.04,5.47e-06
4.05,5.42e-06
4.06,5.39e-06
4.07,5.77e-06
4.08,6.03e-06
4.09,6.55e-06
4.1,5.27e-06
4.11,5.19e-06
4.12,5.15e-06
4.13,5.11e-06
4.14,5.07e-06
4.15,5.03e-06
4.16,4.99e-06
4.17,4.95e-06
4.18,4.97e-06
4.19,4.87e-06
4.2,4.82e-06
4.21,4.78e-06
4.22,4.74e-06
4.23,4.7e-06
4.24,4.65e-06
4.25,5.1e-06
4.26,4.56e-06
4.27,4.5e-06
4.28,4.47e-06
4.29,4.43e-06
4.3,4.38e-06
4.31,5.74e-06
4.32,4.31e-06
4.33,4.22e-06
4.34,4.17e-06
4.35,4.27e-06
4.36,4.24e-06
4.37,4.26e-06
4.38,4.32e-06
4.39,3.91e-06
4.4,3.84e-06
4.41,3.78e-06
4.42,3.71e-06
4.43,3.65e-06
4.44,3.59e-06
4.45,4.71e-06
4.46,3.45e-06
4.47,3.36e-06
4.48,1.878e-06
4.49,0.000112
4.5,1.706e-07
4.51,0.00164
4.52,1.827e-06
4.53,9.8e-05
4.54,1.644e-07
4.55,0.00161
4.56,1.778e-06
4.57,9.9e-05
4.58,1.511e-07
4.59,0.00158
4.6,1.589e-06
4.61,1.35e-06
4.62,1.162e-06
4.63,1.604e-07
4.64,0.000113
4.65,2.89e-08
4.66,0.00026
4.67,-1.557e-07
4.68,-2.029e-07
4.69,-0.000117
4.7,-2.001e-07
4.71,-0.00068
4.72,-1.917e-06
4.73,-1.15e-05
4.74,-1.983e-07
4.75,-0.000126
4.76,-1.977e-07
4.77,-0.00129
4.78,-2.007e-06
4.79,-0.00109
4.8,-2.008e-06
4.81,-0.00111
4.82,-1.993e-06
4.83,-0.00113
4.84,-2.009e-06
4.85,-0.00116
4.86,-2.009e-06
4.87,-0.00103
4.88,-2.01e-06
4.89,-0.0012
4.9,-2.01e-06
4.91,-0.00121
4.92,-2.011e-06
4.93,-0.00122
4.94,-2.012e-06
4.95,-0.00124
4.96,-2.006e-05
4.97,-0.00099
4.98,-2.012e-05
4.99,-0.00064
5.0,-2.013e-06
