"V1","Vout"
0.1008,5.02
0.102,5.03
0.1032,5.02
0.1044,5.03
0.1056,5.02
0.1068,5.03
0.108,5.025
0.1092,5.03
0.1104,5.025
0.1116,5.03
0.1128,5.025
0.114,5.03
0.1152,5.025
0.1164,5.03
0.1176,5.025
0.1188,5.03
0.12,5.025
0.1212,5.03
0.1224,5.025
0.1236,5.035
0.1248,5.025
0.126,5.035
0.1272,5.025
0.1284,5.035
0.1296,5.025
0.1308,5.035
0.132,5.03
0.1332,5.035
0.1344,5.03
0.1356,5.035
0.1368,5.03
0.138,5.035
0.1392,5.03
0.1404,5.035
0.1416,5.03
0.1428,5.035
0.144,5.03
0.1452,5.035
0.1464,5.03
0.1476,5.035
0.1488,5.03
0.15,5.035
0.1512,5.03
0.1524,5.035
0.1536,5.03
0.1548,5.04
0.156,5.03
0.1572,5.04
0.1584,5.03
0.1596,5.04
0.1608,5.03
0.162,5.04
0.1632,5.03
0.1644,5.04
0.1656,5.03
0.1668,5.04
0.168,5.03
0.1692,5.04
0.1704,5.03
0.1716,5.04
0.1728,5.03
0.174,5.04
0.1752,5.03
0.1764,5.04
0.1776,5.03
0.1788,5.04
0.18,5.03
0.1812,5.04
0.1824,5.03
0.1836,5.04
0.1848,5.03
0.186,5.04
0.1872,5.03
0.1884,5.04
0.1896,5.03
0.1908,5.04
0.192,5.03
0.1932,5.04
0.1944,5.03
0.1956,5.04
0.1968,5.03
0.198,5.04
0.1992,5.03
0.2004,5.04
0.2016,5.03
0.2028,5.04
0.204,5.03
0.2052,5.04
0.2064,5.03
0.2076,5.04
0.2088,5.03
0.21,5.04
0.2112,5.03
0.2124,5.04
0.2136,5.03
0.2148,5.04
0.216,5.035
0.2172,5.04
0.2184,5.03
0.2196,5.04
0.2208,5.035
0.222,5.04
0.2232,5.035
0.2244,5.04
0.2256,5.035
0.2268,5.04
0.228,5.035
0.2292,5.04
0.2304,5.035
0.2316,5.04
0.2328,5.035
0.234,5.04
0.2352,5.035
0.2364,5.04
0.2376,5.035
0.2388,5.04
0.24,5.035
0.2412,5.04
0.2424,5.035
0.2436,5.04
0.2448,5.035
0.246,5.04
0.2472,5.035
0.2484,5.04
0.2496,5.035
0.2508,5.04
0.252,5.035
0.2532,5.04
0.2544,5.035
0.2556,5.04
0.2568,5.035
0.258,5.04
0.2592,5.035
0.2604,5.04
0.2616,5.035
0.2628,5.04
0.264,5.035
0.2652,5.04
0.2664,5.035
0.2676,5.04
0.2688,5.035
0.27,5.04
0.2712,5.035
0.2724,5.04
0.2736,5.035
0.2748,5.04
0.276,5.035
0.2772,5.04
0.2784,5.035
0.2796,5.04
0.2808,5.035
0.282,5.04
0.2832,5.035
0.2844,5.04
0.2856,5.035
0.2868,5.04
0.288,5.035
0.2892,5.04
0.2904,5.035
0.2916,5.04
0.2928,5.035
0.294,5.04
0.2952,5.035
0.2964,5.04
0.2976,5.035
0.2988,5.04
0.3,5.035
