"Vin","Vout"
0.0,0.487
0.01,0.507
0.02,0.511
0.03,0.516
0.04,0.521
0.05,0.525
0.06,0.529
0.07,0.533
0.08,0.538
0.09,0.542
0.1,0.547
0.11,0.551
0.12,0.555
0.13,0.559
0.14,0.563
0.15,0.567
0.16,0.572
0.17,0.575
0.18,0.58
0.19,0.583
0.2,0.588
0.21,0.591
0.22,0.596
0.23,0.599
0.24,0.603
0.25,0.606
0.26,0.611
0.27,0.614
0.28,0.618
0.29,0.621
0.3,0.626
0.31,0.629
0.32,0.633
0.33,0.636
0.34,0.64
0.35,0.643
0.36,0.647
0.37,0.65
0.38,0.654
0.39,0.657
0.4,0.661
0.41,0.664
0.42,0.668
0.43,0.672
0.44,0.675
0.45,0.678
0.46,0.682
0.47,0.685
0.48,0.689
0.49,0.692
0.5,0.695
0.51,0.699
0.52,0.702
0.53,0.705
0.54,0.709
0.55,0.712
0.56,0.715
0.57,0.719
0.58,0.721
0.59,0.725
0.6,0.727
0.61,0.731
0.62,0.733
0.63,0.737
0.64,0.74
0.65,0.743
0.66,0.746
0.67,0.749
0.68,0.752
0.69,0.755
0.7,0.758
0.71,0.761
0.72,0.764
0.73,0.766
0.74,0.769
0.75,0.772
0.76,0.775
0.77,0.777
0.78,0.781
0.79,0.783
0.8,0.787
0.81,0.789
0.82,0.792
0.83,0.794
0.84,0.798
0.85,0.799
0.86,0.803
0.87,0.805
0.88,0.809
0.89,0.81
0.9,0.814
0.91,0.815
0.92,0.82
0.93,0.821
0.94,0.825
0.95,0.826
0.96,0.831
0.97,0.832
0.98,0.836
0.99,0.837
1.0,0.841
1.01,0.842
1.02,0.846
1.03,0.847
1.04,0.851
1.05,0.852
1.06,0.856
1.07,0.857
1.08,0.861
1.09,0.862
1.1,0.866
1.11,0.867
1.12,0.871
1.13,0.871
1.14,0.876
1.15,0.876
1.16,0.881
1.17,0.881
1.18,0.886
1.19,0.885
1.2,0.891
1.21,0.89
1.22,0.895
1.23,0.895
1.24,0.9
1.25,0.899
1.26,0.905
1.27,0.904
1.28,0.909
1.29,0.909
1.3,0.914
1.31,0.913
1.32,0.919
1.33,0.917
1.34,0.923
1.35,0.922
1.36,0.928
1.37,0.926
1.38,0.932
1.39,0.931
1.4,0.937
1.41,0.935
1.42,0.941
1.43,0.939
1.44,0.945
