"Vin","Vout"
-5.0,-3.12
-4.9,-3.074
-4.8,-3.012
-4.7,-2.95
-4.6,-2.888
-4.5,-2.826
-4.4,-2.762
-4.3,-2.7
-4.2,-2.638
-4.1,-2.576
-4.0,-2.504
-3.9,-2.444
-3.8,-2.382
-3.7,-2.32
-3.6,-2.258
-3.5,-2.194
-3.4,-2.132
-3.3,-2.07
-3.2,-2.006
-3.1,-1.944
-3.0,-1.88
-2.9,-1.818
-2.8,-1.754
-2.7,-1.692
-2.6,-1.63
-2.5,-1.563
-2.4,-1.501
-2.3,-1.438
-2.2,-1.375
-2.1,-1.313
-2.0,-1.251
-1.9,-1.19
-1.8,-1.128
-1.7,-1.065
-1.6,-1.003
-1.5,-0.939
-1.4,-0.877
-1.3,-0.815
-1.2,-0.752
-1.1,-0.69
-1.0,-0.627
-0.9,-0.564
-0.8,-0.502
-0.7,-0.439
-0.6,-0.376
-0.5,-0.314
-0.4,-0.251
-0.3,-0.188
-0.2,-0.126
-0.1,-0.064
0.0,-0.002
0.1,0.062
0.2,0.125
0.3,0.187
0.4,0.249
0.5,0.312
0.6,0.375
0.7,0.439
0.8,0.502
0.9,0.564
1.0,0.627
1.1,0.69
1.2,0.753
1.3,0.815
1.4,0.878
1.5,0.941
1.6,1.003
1.7,1.065
1.8,1.127
1.9,1.19
2.0,1.252
2.1,1.316
2.2,1.379
2.3,1.441
2.4,1.504
2.5,1.566
2.6,1.629
2.7,1.691
2.8,1.753
2.9,1.815
3.0,1.877
3.1,1.94
3.2,2.01
3.3,2.07
3.4,2.134
3.5,2.196
3.6,2.258
3.7,2.32
3.8,2.382
3.9,2.444
4.0,2.508
4.1,2.574
4.2,2.638
4.3,2.7
4.4,2.762
4.5,2.824
4.6,2.888
4.7,2.952
4.8,3.016
4.9,3.078
5.0,3.142
