"V1","Vout1"
-0.25,0.003
-0.249,0.002
-0.248,0.003
-0.247,0.002
-0.246,0.003
-0.245,0.002
-0.244,0.003
-0.243,0.003
-0.242,0.003
-0.241,0.003
-0.24,0.003
-0.239,0.003
-0.238,0.003
-0.237,0.003
-0.236,0.003
-0.235,0.002
-0.234,0.002
-0.233,0.002
-0.232,0.002
-0.231,0.002
-0.23,0.002
-0.229,0.002
-0.228,0.002
-0.227,0.002
-0.226,0.002
-0.225,0.002
-0.224,0.002
-0.223,0.002
-0.222,0.002
-0.221,0.002
-0.22,0.002
-0.219,0.002
-0.218,0.002
-0.217,0.002
-0.216,0.002
-0.215,0.002
-0.214,0.002
-0.213,0.002
-0.212,0.002
-0.211,0.002
-0.21,0.002
-0.209,0.002
-0.208,0.002
-0.207,0.002
-0.206,0.002
-0.205,0.002
-0.204,0.002
-0.203,0.002
-0.202,0.002
-0.201,0.002
-0.2,0.002
-0.199,0.002
-0.198,0.002
-0.197,0.002
-0.196,0.002
-0.195,0.002
-0.194,0.002
-0.193,0.002
-0.192,0.002
-0.191,0.002
-0.19,0.002
-0.189,0.002
-0.188,0.002
-0.187,0.002
-0.186,0.002
-0.185,0.002
-0.184,0.002
-0.183,0.002
-0.182,0.002
-0.181,0.002
-0.18,0.003
-0.179,0.003
-0.178,0.003
-0.177,0.003
-0.176,0.003
-0.175,0.003
-0.174,0.003
-0.173,0.002
-0.172,0.003
-0.171,0.003
-0.17,0.003
-0.169,0.003
-0.168,0.003
-0.167,0.003
-0.166,0.003
-0.165,0.003
-0.164,0.003
-0.163,0.003
-0.162,0.003
-0.161,0.003
-0.16,0.003
-0.159,0.003
-0.158,0.003
-0.157,0.003
-0.156,0.003
-0.155,0.003
-0.154,0.003
-0.153,0.003
-0.152,0.003
-0.151,0.003
-0.15,0.003
-0.149,0.003
-0.148,0.003
-0.147,0.003
-0.146,0.003
-0.145,0.003
-0.144,0.003
-0.143,0.003
-0.142,0.003
-0.141,0.003
-0.14,0.003
-0.139,0.003
-0.138,0.003
-0.137,0.003
-0.136,0.003
-0.135,0.003
-0.134,0.003
-0.133,0.003
-0.132,0.003
-0.131,0.003
-0.13,0.003
-0.129,0.003
-0.128,0.003
-0.127,0.003
-0.126,0.003
-0.125,0.003
-0.124,0.003
-0.123,0.003
-0.122,0.003
-0.121,0.003
-0.12,0.003
-0.119,0.003
-0.118,0.003
-0.117,0.003
-0.116,0.003
-0.115,0.004
-0.114,0.004
-0.113,0.004
-0.112,0.004
-0.111,0.004
-0.11,0.004
-0.109,0.004
-0.108,0.004
-0.107,0.004
-0.106,0.004
-0.105,0.004
-0.104,0.004
-0.103,0.004
-0.102,0.004
-0.101,0.004
-0.1,0.004
-0.099,0.004
-0.098,0.004
-0.097,0.005
-0.096,0.005
-0.095,0.005
-0.094,0.005
-0.093,0.005
-0.092,0.005
-0.091,0.005
-0.09,0.005
-0.089,0.005
-0.088,0.005
-0.087,0.005
-0.086,0.006
-0.085,0.006
-0.084,0.006
-0.083,0.006
-0.082,0.006
-0.081,0.006
-0.08,0.006
-0.079,0.007
-0.078,0.007
-0.077,0.007
-0.076,0.007
-0.075,0.007
-0.074,0.007
-0.073,0.007
-0.072,0.007
-0.071,0.008
-0.07,0.008
-0.069,0.008
-0.068,0.008
-0.067,0.008
-0.066,0.008
-0.065,0.009
-0.064,0.009
-0.063,0.009
-0.062,0.009
-0.061,0.01
-0.06,0.01
-0.059,0.01
-0.058,0.01
-0.057,0.011
-0.056,0.011
-0.055,0.011
-0.054,0.011
-0.053,0.012
-0.052,0.012
-0.051,0.013
-0.05,0.013
-0.049,0.013
-0.048,0.014
-0.047,0.014
-0.046,0.014
-0.045,0.015
-0.044,0.015
-0.043,0.016
-0.042,0.016
-0.041,0.017
-0.04,0.017
-0.039,0.018
-0.038,0.018
-0.037,0.019
-0.036,0.02
-0.035,0.02
-0.034,0.021
-0.033,0.022
-0.032,0.023
-0.031,0.024
-0.03,0.024
-0.029,0.025
-0.028,0.026
-0.027,0.027
-0.026,0.029
-0.025,0.03
-0.024,0.031
-0.023,0.033
-0.022,0.034
-0.021,0.036
-0.02,0.038
-0.019,0.04
-0.018,0.042
-0.017,0.045
-0.016,0.048
-0.015,0.051
-0.014,0.055
-0.013,0.059
-0.012,0.065
-0.011,0.071
-0.01,0.081
-0.009,0.097
-0.008,0.128
-0.007,0.222
-0.006,0.457
-0.005,0.81
-0.004,1.249
-0.003,1.745
-0.002,2.444
-0.001,2.782
0.0,3.26
0.001,3.704
0.002,4.054
0.003,4.675
0.004,4.65
0.005,4.815
0.006,4.885
0.007,4.905
0.008,4.92
0.009,4.925
0.01,4.935
0.011,4.94
0.012,4.945
0.013,4.945
0.014,4.95
0.015,4.955
0.016,4.955
0.017,4.96
0.018,4.96
0.019,4.965
0.02,4.965
0.021,4.965
0.022,4.965
0.023,4.97
0.024,4.97
0.025,4.97
0.026,4.97
0.027,4.975
0.028,4.975
0.029,4.975
0.03,4.975
0.031,4.98
0.032,4.98
0.033,4.98
0.034,4.98
0.035,4.98
0.036,4.98
0.037,4.985
0.038,4.985
0.039,4.985
0.04,4.985
0.041,4.985
0.042,4.985
0.043,4.985
0.044,4.985
0.045,4.985
0.046,4.985
0.047,4.99
0.048,4.99
0.049,4.99
0.05,4.99
0.051,4.99
0.052,4.99
0.053,4.99
0.054,4.99
0.055,4.99
0.056,4.99
0.057,4.99
0.058,4.995
0.059,4.995
0.06,4.995
0.061,4.995
0.062,4.995
0.063,4.995
0.064,4.995
0.065,4.995
0.066,4.995
0.067,4.995
0.068,4.995
0.069,4.995
0.07,4.995
0.071,4.995
0.072,4.995
0.073,4.995
0.074,4.995
0.075,4.995
0.076,4.995
0.077,4.995
0.078,4.995
0.079,4.995
0.08,4.995
0.081,4.995
0.082,4.995
0.083,4.995
0.084,4.995
0.085,5.0
0.086,5.0
0.087,5.0
0.088,5.0
0.089,5.0
0.09,5.0
0.091,5.0
0.092,5.0
0.093,5.0
0.094,5.0
0.095,5.0
0.096,5.0
0.097,5.0
0.098,5.0
0.099,5.0
0.1,5.0
0.101,5.0
0.102,5.0
0.103,5.0
0.104,5.0
0.105,5.0
0.106,5.0
0.107,5.0
0.108,5.0
0.109,5.0
0.11,5.0
0.111,5.0
0.112,5.0
0.113,5.0
0.114,5.0
0.115,5.0
0.116,5.0
0.117,5.0
0.118,5.0
0.119,5.0
0.12,5.0
0.121,5.0
0.122,5.0
0.123,5.0
0.124,5.0
0.125,5.0
0.126,5.0
0.127,5.0
0.128,5.005
0.129,5.0
0.13,5.0
0.131,5.0
0.132,5.0
0.133,5.0
0.134,5.0
0.135,5.005
0.136,5.005
0.137,5.0
0.138,5.0
0.139,5.005
0.14,5.005
0.141,5.005
0.142,5.005
0.143,5.005
0.144,5.005
0.145,5.005
0.146,5.005
0.147,5.005
0.148,5.005
0.149,5.005
0.15,5.005
0.151,5.005
0.152,5.005
0.153,5.005
0.154,5.005
0.155,5.005
0.156,5.005
0.157,5.005
0.158,5.005
0.159,5.005
0.16,5.005
0.161,5.005
0.162,5.005
0.163,5.005
0.164,5.005
0.165,5.005
0.166,5.005
0.167,5.005
0.168,5.005
0.169,5.005
0.17,5.005
0.171,5.005
0.172,5.005
0.173,5.005
0.174,5.005
0.175,5.005
0.176,5.005
0.177,5.005
0.178,5.005
0.179,5.005
0.18,5.005
0.181,5.005
0.182,5.005
0.183,5.005
0.184,5.005
0.185,5.005
0.186,5.005
0.187,5.005
0.188,5.005
0.189,5.005
0.19,5.005
0.191,5.005
0.192,5.005
0.193,5.005
0.194,5.005
0.195,5.005
0.196,5.005
0.197,5.005
0.198,5.005
0.199,5.005
0.2,5.005
0.201,5.005
0.202,5.005
0.203,5.005
0.204,5.005
0.205,5.005
0.206,5.005
0.207,5.005
0.208,5.005
0.209,5.005
0.21,5.005
0.211,5.005
0.212,5.005
0.213,5.005
0.214,5.005
0.215,5.005
0.216,5.005
0.217,5.005
0.218,5.005
0.219,5.005
0.22,5.005
0.221,5.005
0.222,5.005
0.223,5.005
0.224,5.005
0.225,5.005
0.226,5.005
0.227,5.005
0.228,5.005
0.229,5.005
0.23,5.005
0.231,5.005
0.232,5.005
0.233,5.005
0.234,5.005
0.235,5.005
0.236,5.005
0.237,5.005
0.238,5.005
0.239,5.005
0.24,5.005
0.241,5.005
0.242,5.005
0.243,5.005
0.244,5.005
0.245,5.005
0.246,5.005
0.247,5.005
0.248,5.005
0.249,5.005
0.25,5.005
