"V1","Vout1"
0.008,4.92
0.0081,4.92
0.0082,4.92
0.0083,4.925
0.0084,4.925
0.0085,4.925
0.0086,4.925
0.0087,4.925
0.0088,4.93
0.0089,4.93
0.009,4.93
0.0091,4.93
0.0092,4.93
0.0093,4.93
0.0094,4.935
0.0095,4.93
0.0096,4.93
0.0097,4.935
0.0098,4.935
0.0099,4.935
0.01,4.935
0.0101,4.935
0.0102,4.935
0.0103,4.94
0.0104,4.94
0.0105,4.94
0.0106,4.94
0.0107,4.94
0.0108,4.94
0.0109,4.94
0.011,4.94
0.0111,4.94
0.0112,4.94
0.0113,4.94
0.0114,4.94
0.0115,4.94
0.0116,4.94
0.0117,4.94
0.0118,4.945
0.0119,4.945
0.012,4.945
0.0121,4.945
0.0122,4.945
0.0123,4.945
0.0124,4.945
0.0125,4.945
0.0126,4.945
0.0127,4.945
0.0128,4.95
0.0129,4.95
0.013,4.95
0.0131,4.95
0.0132,4.95
0.0133,4.95
0.0134,4.95
0.0135,4.95
0.0136,4.95
0.0137,4.95
0.0138,4.95
0.0139,4.95
0.014,4.95
0.0141,4.95
0.0142,4.95
0.0143,4.955
0.0144,4.955
0.0145,4.955
0.0146,4.955
0.0147,4.955
0.0148,4.955
0.0149,4.955
0.015,4.955
0.0151,4.955
0.0152,4.955
0.0153,4.955
0.0154,4.955
0.0155,4.955
0.0156,4.955
0.0157,4.955
0.0158,4.955
0.0159,4.955
0.016,4.955
0.0161,4.955
0.0162,4.955
0.0163,4.96
0.0164,4.96
0.0165,4.96
0.0166,4.96
0.0167,4.96
0.0168,4.96
0.0169,4.96
0.017,4.96
0.0171,4.96
0.0172,4.96
0.0173,4.96
0.0174,4.96
0.0175,4.96
0.0176,4.96
0.0177,4.96
0.0178,4.96
0.0179,4.96
0.018,4.96
0.0181,4.96
0.0182,4.96
0.0183,4.965
0.0184,4.96
0.0185,4.965
0.0186,4.965
0.0187,4.965
0.0188,4.965
0.0189,4.965
0.019,4.965
0.0191,4.965
0.0192,4.965
0.0193,4.965
0.0194,4.965
0.0195,4.965
0.0196,4.965
0.0197,4.965
0.0198,4.965
0.0199,4.965
0.02,4.965
0.0201,4.965
0.0202,4.965
0.0203,4.965
0.0204,4.965
0.0205,4.965
0.0206,4.965
0.0207,4.965
0.0208,4.965
0.0209,4.965
0.021,4.965
0.0211,4.965
0.0212,4.965
0.0213,4.965
0.0214,4.965
0.0215,4.965
0.0216,4.965
0.0217,4.965
0.0218,4.97
0.0219,4.965
0.022,4.965
0.0221,4.965
0.0222,4.965
0.0223,4.97
0.0224,4.97
0.0225,4.97
0.0226,4.97
0.0227,4.97
0.0228,4.97
0.0229,4.97
0.023,4.97
0.0231,4.97
0.0232,4.97
0.0233,4.97
0.0234,4.97
0.0235,4.97
0.0236,4.97
0.0237,4.97
0.0238,4.97
0.0239,4.97
0.024,4.97
0.0241,4.97
0.0242,4.97
0.0243,4.97
0.0244,4.97
0.0245,4.97
0.0246,4.97
0.0247,4.97
0.0248,4.97
0.0249,4.97
0.025,4.97
