"V1","Vout1"
0.00312,4.56
0.00316,4.56
0.0032,4.56
0.00324,4.56
0.00328,4.605
0.00332,4.655
0.00336,4.655
0.0034,4.655
0.00344,4.655
0.00348,4.65
0.00352,4.65
0.00356,4.65
0.0036,4.65
0.00364,4.655
0.00368,4.65
0.00372,4.655
0.00376,4.695
0.0038,4.735
0.00384,4.74
0.00388,4.74
0.00392,4.74
0.00396,4.74
0.004,4.74
0.00404,4.74
0.00408,4.735
0.00412,4.74
0.00416,4.74
0.0042,4.74
0.00424,4.74
0.00428,4.78
0.00432,4.805
0.00436,4.805
0.0044,4.805
0.00444,4.805
0.00448,4.805
0.00452,4.805
0.00456,4.805
0.0046,4.805
0.00464,4.805
0.00468,4.805
0.00472,4.805
0.00476,4.835
0.0048,4.85
0.00484,4.85
0.00488,4.85
0.00492,4.85
0.00496,4.85
0.005,4.85
0.00504,4.85
0.00508,4.85
0.00512,4.85
0.00516,4.85
0.0052,4.85
0.00524,4.85
0.00528,4.87
0.00532,4.875
0.00536,4.875
0.0054,4.875
0.00544,4.875
0.00548,4.875
0.00552,4.875
0.00556,4.875
0.0056,4.875
0.00564,4.875
0.00568,4.875
0.00572,4.875
0.00576,4.89
0.0058,4.89
0.00584,4.89
0.00588,4.89
0.00592,4.89
0.00596,4.89
0.006,4.89
0.00604,4.89
0.00608,4.89
0.00612,4.89
0.00616,4.89
0.0062,4.89
0.00624,4.89
0.00628,4.9
0.00632,4.9
0.00636,4.9
0.0064,4.9
0.00644,4.9
0.00648,4.9
0.00652,4.9
0.00656,4.9
0.0066,4.9
0.00664,4.9
0.00668,4.9
0.00672,4.9
0.00676,4.91
0.0068,4.91
0.00684,4.91
0.00688,4.91
0.00692,4.91
0.00696,4.91
0.007,4.91
0.00704,4.91
0.00708,4.91
0.00712,4.91
0.00716,4.91
0.0072,4.91
0.00724,4.91
0.00728,4.915
0.00732,4.915
0.00736,4.915
0.0074,4.915
0.00744,4.915
0.00748,4.915
0.00752,4.915
0.00756,4.915
0.0076,4.915
0.00764,4.915
0.00768,4.915
0.00772,4.915
0.00776,4.92
0.0078,4.92
0.00784,4.92
0.00788,4.92
0.00792,4.92
0.00796,4.92
0.008,4.92
0.00804,4.92
0.00808,4.92
0.00812,4.92
0.00816,4.92
0.0082,4.92
0.00824,4.92
0.00828,4.925
0.00832,4.925
0.00836,4.925
0.0084,4.925
0.00844,4.925
0.00848,4.925
0.00852,4.925
0.00856,4.925
0.0086,4.925
0.00864,4.925
0.00868,4.925
0.00872,4.925
0.00876,4.93
0.0088,4.93
0.00884,4.93
0.00888,4.93
0.00892,4.93
0.00896,4.93
0.009,4.93
0.00904,4.93
0.00908,4.93
0.00912,4.93
0.00916,4.93
0.0092,4.93
0.00924,4.93
0.00928,4.93
0.00932,4.93
0.00936,4.93
0.0094,4.93
0.00944,4.93
0.00948,4.93
0.00952,4.93
0.00956,4.93
0.0096,4.93
0.00964,4.93
0.00968,4.93
0.00972,4.93
0.00976,4.935
0.0098,4.935
0.00984,4.935
0.00988,4.935
0.00992,4.935
0.00996,4.935
0.01,4.935
