Vout,Iout
1.575,-1.44E-07
1.58,-0.000104
1.585,-1.41E-07
1.59,-0.000104
1.595,-1.37E-07
1.6,-0.000103
1.605,-1.42E-07
1.61,-0.000102
1.615,-1.48E-07
1.62,-0.000102
1.625,-1.43E-07
1.63,-0.000102
1.635,-1.39E-07
1.64,-0.000101
1.645,-1.32E-07
1.65,-0.000101
1.655,-1.25E-07
1.66,-1.05E-05
1.665,-9.83E-08
1.67,-1.04E-05
1.675,-8.87E-08
1.68,-1.01E-05
1.685,-6.77E-08
1.69,-9.90E-06
1.695,-4.02E-08
1.7,-4.09E-08
1.705,-1.23E-08
1.71,9.70E-09
1.715,3.19E-08
1.72,5.54E-08
1.725,7.71E-08
1.73,9.57E-08
1.735,1.18E-07
1.74,1.36E-07
1.745,1.53E-07
1.75,1.70E-07
1.755,1.82E-07
1.76,1.93E-07
1.765,2.01E-07
1.77,2.05E-07
1.775,1.28E-06
1.78,1.99E-07
1.785,0.000106
1.79,1.99E-07
1.795,0.000108
1.8,1.99E-07
1.805,0.00011
1.81,1.99E-07
1.815,0.000111
1.82,1.99E-07
1.825,0.000112
1.83,1.99E-07
1.835,0.000112
1.84,1.99E-07
1.845,0.000113
1.85,1.99E-07
1.855,0.000113
1.86,1.99E-07
1.865,0.000113
1.87,1.99E-07
1.875,0.000114
1.88,1.99E-07
1.885,0.000115
1.89,1.99E-07
1.895,0.000116
1.9,1.99E-07
1.905,0.000117
1.91,1.99E-07
1.915,0.000119
1.92,1.99E-07
1.925,0.00012
1.93,1.99E-07
1.935,0.000121
1.94,2.00E-07
1.945,0.000122
1.95,2.00E-07
1.955,0.000123
1.96,2.00E-07
1.965,0.000123
1.97,2.00E-07
1.975,0.000124
1.98,2.00E-07
1.985,
1.99,1.37E-06
1.995,1.51E-06
2,1.54E-06
2.005,1.62E-06
2.01,1.63E-06
2.015,1.66E-06
2.02,1.68E-06
2.025,1.71E-06
2.03,1.74E-06
2.035,1.77E-06
2.04,1.79E-06
2.045,1.82E-06
2.05,1.84E-06
2.055,1.87E-06
2.06,4.18E-06
2.065,2.03E-06
2.07,2.05E-06
2.075,2.08E-06
2.08,2.11E-06
2.085,2.14E-06
2.09,2.16E-06
2.095,2.20E-06
2.1,2.22E-06
2.105,2.25E-06
2.11,2.28E-06
2.115,2.31E-06
2.12,2.34E-06
2.125,2.36E-06
2.13,2.39E-06
2.135,2.42E-06
2.14,2.45E-06
2.145,2.47E-06
2.15,2.50E-06
2.155,2.53E-06
2.16,2.56E-06
2.165,2.58E-06
2.17,2.61E-06
2.175,2.64E-06
2.18,2.66E-06
2.185,2.69E-06
2.19,2.72E-06
2.195,2.75E-06
2.2,2.78E-06
2.205,2.81E-06
2.21,2.84E-06
2.215,2.86E-06
2.22,2.89E-06
2.225,2.92E-06
2.23,2.95E-06
2.235,2.98E-06
2.24,3.00E-06
2.245,3.03E-06
2.25,3.06E-06
2.255,3.08E-06
2.26,3.11E-06
