"Vg","Ic"
-5.0,0.001356
-4.975,0.001348
-4.95,0.00134
-4.925,0.001332
-4.9,0.001323
-4.875,0.001314
-4.85,0.001306
-4.825,0.001299
-4.8,0.001292
-4.775,0.001284
-4.75,0.001276
-4.725,0.001268
-4.7,0.00126
-4.675,0.001252
-4.65,0.001244
-4.625,0.001236
-4.6,0.001229
-4.575,0.001221
-4.55,0.001213
-4.525,0.001205
-4.5,0.001197
-4.475,0.001189
-4.45,0.00118
-4.425,0.001172
-4.4,0.001164
-4.375,0.001156
-4.35,0.001147
-4.325,0.001138
-4.3,0.00113
-4.275,0.001121
-4.25,0.001113
-4.225,0.001104
-4.2,0.001096
-4.175,0.001087
-4.15,0.001078
-4.125,0.001069
-4.1,0.001061
-4.075,0.001052
-4.05,0.001043
-4.025,0.001035
-4.0,0.001017
-3.975,0.001008
-3.95,0.000999
-3.925,0.00099
-3.9,0.000981
-3.875,0.000973
-3.85,0.000964
-3.825,0.000955
-3.8,0.000945
-3.775,0.000936
-3.75,0.000927
-3.725,0.000917
-3.7,0.000908
-3.675,0.000899
-3.65,0.000889
-3.625,0.00088
-3.6,0.00087
-3.575,0.000861
-3.55,0.000851
-3.525,0.000841
-3.5,0.000832
-3.475,0.000822
-3.45,0.000812
-3.425,0.000802
-3.4,0.000792
-3.375,0.000783
-3.35,0.000773
-3.325,0.000763
-3.3,0.000753
-3.275,0.000742
-3.25,0.000732
-3.225,0.000722
-3.2,0.000712
-3.175,0.000701
-3.15,0.000691
-3.125,0.00068
-3.1,0.00067
-3.075,0.00066
-3.05,0.000649
-3.025,0.000638
-3.0,0.000627
-2.975,0.000616
-2.95,0.000606
-2.925,0.000596
-2.9,0.000585
-2.875,0.000575
-2.85,0.000564
-2.825,0.000554
-2.8,0.000543
-2.775,0.000533
-2.75,0.000522
-2.725,0.000512
-2.7,0.000501
-2.675,0.000491
-2.65,0.000481
-2.625,0.000471
-2.6,0.000461
-2.575,0.000451
-2.55,0.000441
-2.525,0.000431
-2.5,0.000421
-2.475,0.000411
-2.45,0.000401
-2.425,0.000391
-2.4,0.000382
-2.375,0.000372
-2.35,0.000363
-2.325,0.000353
-2.3,0.000344
-2.275,0.000335
-2.25,0.000326
-2.225,0.000316
-2.2,0.000308
-2.175,0.000299
-2.15,0.00029
-2.125,0.000281
-2.1,0.000273
-2.075,0.000264
-2.05,0.000256
-2.025,0.000247
-2.0,0.000238
-1.975,0.00023
-1.95,0.000223
-1.925,0.000215
-1.9,0.000207
-1.875,0.000199
-1.85,0.000192
-1.825,0.000184
-1.8,0.000177
-1.775,0.00017
-1.75,0.000163
-1.725,0.000156
-1.7,0.000149
-1.675,0.000142
-1.65,0.000136
-1.625,0.00013
-1.6,0.000123
-1.575,0.000116
-1.55,0.00011
-1.525,0.000104
-1.5,0.000102
-1.475,9.62e-05
-1.45,9.07e-05
-1.425,8.52e-05
-1.4,7.99e-05
-1.375,7.47e-05
-1.35,6.96e-05
-1.325,6.48e-05
-1.3,6.02e-05
-1.275,5.57e-05
-1.25,5.12e-05
-1.225,4.69e-05
-1.2,4.29e-05
-1.175,3.9e-05
-1.15,3.52e-05
-1.125,3.17e-05
-1.1,2.83e-05
-1.075,2.51e-05
-1.05,2.22e-05
-1.025,1.94e-05
-1.0,1.67e-05
-0.975,1.42e-05
-0.95,1.2e-05
-0.925,1e-05
-0.9,8.19e-06
-0.875,6.58e-06
-0.85,5.17e-06
-0.825,3.97e-06
-0.8,2.96e-06
-0.775,2.13e-06
-0.75,1.47e-06
-0.725,9.7e-07
-0.7,6.33e-07
-0.675,3.8e-07
-0.65,2.14e-07
-0.625,1.15e-07
-0.6,5.93e-08
-0.575,2.88e-08
-0.55,1.78e-08
-0.525,6.5e-09
-0.5,4.9e-09
-0.475,2.2e-09
-0.45,5.1e-09
-0.425,2.3e-09
-0.4,4e-10
-0.375,3.7e-09
-0.35,3.3e-09
-0.325,1.2e-09
-0.3,6e-10
-0.275,2e-09
-0.25,2.5e-09
-0.225,1.2e-09
-0.2,-0.0
-0.175,2.6e-09
-0.15,1.7e-09
-0.125,9e-10
-0.1,1.4e-09
-0.075,2.9e-09
-0.05,3.7e-09
-0.025,2e-09
0.0,1.2e-09
