"Vd","Ic"
0.0,-1.5e-09
0.05,1.856e-07
0.1,1.865e-07
0.15,1.894e-07
0.2,1.933e-07
0.25,1.978e-07
0.3,2.047e-07
0.35,4.94e-07
0.4,1.096e-06
0.45,1.105e-06
0.5,1.109e-06
0.55,1.114e-06
0.6,1.117e-06
0.65,1.121e-06
0.7,1.125e-06
0.75,1.128e-06
0.8,1.131e-06
0.85,1.134e-06
0.9,1.138e-06
0.95,1.14e-06
1.0,1.145e-06
1.05,1.148e-06
1.1,1.15e-06
1.15,1.152e-06
1.2,1.154e-06
1.25,1.157e-06
1.3,1.162e-06
1.35,1.164e-06
1.4,1.165e-06
1.45,1.17e-06
1.5,1.173e-06
1.55,1.175e-06
1.6,1.176e-06
1.65,1.179e-06
1.7,1.18e-06
1.75,1.183e-06
1.8,1.186e-06
1.85,1.187e-06
1.9,1.191e-06
1.95,1.191e-06
2.0,1.194e-06
2.05,1.198e-06
2.1,1.197e-06
2.15,1.201e-06
2.2,1.201e-06
2.25,1.204e-06
2.3,1.209e-06
2.35,1.21e-06
2.4,1.209e-06
2.45,1.215e-06
2.5,1.214e-06
2.55,1.217e-06
2.6,1.216e-06
2.65,1.224e-06
2.7,1.221e-06
2.75,1.224e-06
2.8,1.226e-06
2.85,1.228e-06
2.9,1.23e-06
2.95,1.233e-06
3.0,1.232e-06
3.05,1.242e-06
3.1,1.238e-06
3.15,1.239e-06
3.2,1.242e-06
3.25,1.244e-06
3.3,1.249e-06
3.35,1.247e-06
3.4,1.243e-06
3.45,1.251e-06
3.5,1.257e-06
3.55,1.251e-06
3.6,1.253e-06
3.65,1.254e-06
3.7,1.255e-06
3.75,1.257e-06
3.8,1.263e-06
3.85,1.262e-06
3.9,1.263e-06
3.95,1.26e-06
4.0,1.265e-06
4.05,1.266e-06
4.1,1.269e-06
4.15,1.269e-06
4.2,1.272e-06
4.25,1.275e-06
4.3,1.276e-06
4.35,1.271e-06
4.4,1.277e-06
4.45,1.282e-06
4.5,1.28e-06
4.55,1.283e-06
4.6,1.282e-06
4.65,1.289e-06
4.7,1.283e-06
4.75,1.289e-06
4.8,1.284e-06
4.85,1.291e-06
4.9,1.293e-06
4.95,1.296e-06
5.0,1.301e-06
