"Vd","Ic"
-5.0,-2.034e-05
-4.95,-0.00022
-4.9,-0.000203
-4.85,-0.000188
-4.8,-0.000174
-4.75,-0.000162
-4.7,-0.00015
-4.65,-0.00014
-4.6,-0.00013
-4.55,-0.000121
-4.5,-0.000113
-4.45,-0.000105
-4.4,-0.0001033
-4.35,-9.67e-05
-4.3,-9.06e-05
-4.25,-8.5e-05
-4.2,-7.95e-05
-4.15,-7.46e-05
-4.1,-7.01e-05
-4.05,-6.58e-05
-4.0,-6e-05
-3.95,-5.64e-05
-3.9,-5.31e-05
-3.85,-4.99e-05
-3.8,-4.68e-05
-3.75,-4.39e-05
-3.7,-4.12e-05
-3.65,-3.86e-05
-3.6,-3.61e-05
-3.55,-3.38e-05
-3.5,-3.16e-05
-3.45,-2.95e-05
-3.4,-2.76e-05
-3.35,-2.57e-05
-3.3,-2.4e-05
-3.25,-2.24e-05
-3.2,-2.07e-05
-3.15,-1.93e-05
-3.1,-1.78e-05
-3.05,-1.65e-05
-3.0,-1.52e-05
-2.95,-1.4e-05
-2.9,-1.29e-05
-2.85,-1.19e-05
-2.8,-1.115e-05
-2.75,-1.024e-05
-2.7,-9.38e-06
-2.65,-8.6e-06
-2.6,-7.89e-06
-2.55,-7.2e-06
-2.5,-6.56e-06
-2.45,-5.96e-06
-2.4,-5.42e-06
-2.35,-4.93e-06
-2.3,-4.48e-06
-2.25,-4.05e-06
-2.2,-3.65e-06
-2.15,-3.29e-06
-2.1,-2.96e-06
-2.05,-2.66e-06
-2.0,-2.37e-06
-1.95,-2.13e-06
-1.9,-1.9e-06
-1.85,-1.75e-06
-1.8,-1.555e-06
-1.75,-1.38e-06
-1.7,-1.225e-06
-1.65,-1.092e-06
-1.6,-9.63e-07
-1.55,-2.047e-07
-1.5,-1.33e-07
-1.45,-9.26e-08
-1.4,-5.72e-08
-1.35,-3e-09
-1.3,2.1e-08
-1.25,7.16e-08
-1.2,1.123e-07
-1.15,1.509e-07
-1.1,1.797e-07
-1.05,1.96e-07
-1.0,2.045e-07
-0.95,-2.02e-07
-0.9,-1.75e-07
-0.85,-1.53e-07
-0.8,-1.34e-07
-0.75,-1.2e-07
-0.7,-1.03e-07
-0.65,-8.6e-08
-0.6,-6.9e-08
-0.55,-4.5e-08
-0.5,-6e-09
-0.45,5.8e-08
-0.4,1.74e-07
-0.35,3.89e-07
-0.3,8.04e-07
-0.25,1.586e-06
-0.2,3.1e-06
-0.15,5.83e-06
-0.1,1.058e-05
-0.05,1.839e-05
0.0,3.1e-05
